CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_COMP	L_COMPSUBJ	L_COMPREST	L_MATRV2CC	L_MATRBE4S	L_MATRSUBJ	L_MATRS2V	DPCW	DPWC	SURPRISAL
33	ICLE	SPM02006	add	present	obj	Spanish	written	93	13	80	0	0	1	0	-0.0031726021	-0.4617757215	11.0826480856
34	ICE-GB	S2A-039	add	present	obj	English	spoken	183	81	102	0	0	1	15	-0.0031726021	-0.4617757215	13.0826480856
35	ICLE	SPM02015	add	present	obj	Spanish	written	106	42	64	0	19	1	9	-0.0031726021	-0.4617757215	3.1863156817
36	ICLE	SPM04047	add	present	obj	Spanish	written	22	4	18	0	0	1	4	-0.0031726021	-0.4617757215	7.623216467
37	ICLE	SPM03016	add	present	obj	Spanish	written	74	23	51	0	0	2	0	-0.0031726021	-0.4617757215	7.623216467
38	ICE-GB	W2C-009	add	absent	obj	English	written	88	28	60	0	0	3	0	-0.0031726021	-0.4617757215	9.2540858507
39	ICE-GB	W2C-017	add	present	obj	English	written	112	7	105	0	0	2	0	-0.0031726021	-0.4617757215	4.7233043881
40	ICE-GB	W2C-009	add	present	obj	English	written	46	11	35	0	0	12	0	-0.0031726021	-0.4617757215	4.7233043881
41	ICE-GB	W2C-001	add	present	obj	English	written	103	64	39	0	0	4	0	-0.0031726021	-0.4617757215	4.7233043881
42	ICE-GB	S2B-004	add	present	obj	English	spoken	156	113	43	0	0	13	0	-0.0031726021	-0.4617757215	4.7233043881
43	ICLE	GEAU3064	admit	present	obj	German	written	64	27	37	0	0	1	0	-0.0062951312	-0.294970662	8.9085597149
44	ICLE	SPM05004	admit	present	obj	Spanish	written	67	1	66	0	0	1	0	-0.0062951312	-0.294970662	8.1012047928
45	ICLE	GESA3007	admit	present	obj	German	written	44	14	30	0	4	2	4	-0.0062951312	-0.294970662	9.9085597149
46	ICLE	GEAU1040	admit	present	obj	German	written	81	2	79	0	0	2	12	-0.0062951312	-0.294970662	5.6417731742
47	ICLE	GEBA1034	admit	present	obj	German	written	58	9	49	0	0	6	0	-0.0062951312	-0.294970662	5.6417731742
48	ICE-GB	S1B-056	admit	present	obj	English	spoken	83	31	52	0	0	2	0	-0.0062951312	-0.294970662	7.1536722127
49	ICLE	SPM02006	admit	absent	obj	Spanish	written	15	1	14	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
50	ICLE	GEAU3035	admit	present	obj	German	written	59	1	58	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
51	ICLE	GESA5037	admit	present	obj	German	written	36	1	35	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
52	ICE-GB	S1A-034	admit	absent	obj	English	spoken	89	1	88	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
53	LINDSEI	GE025	admit	absent	obj	German	spoken	22	2	20	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
54	ICE-GB	S2A-027	admit	present	obj	English	spoken	35	1	34	0	19	1	0	-0.0062951312	-0.294970662	3.6942405941
55	ICLE	GEAU2003	admit	present	obj	German	written	38	1	37	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
56	ICLE	GESA5041	admit	present	obj	German	written	17	1	16	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
57	ICLE	SPM06012	admit	absent	obj	Spanish	written	7	1	6	0	0	1	4	-0.0062951312	-0.294970662	3.6942405941
58	ICE-GB	W2F-013	admit	present	obj	English	written	36	1	35	0	3	1	0	-0.0062951312	-0.294970662	3.6942405941
59	ICLE	GEAU3037	admit	absent	obj	German	written	19	1	18	0	0	1	0	-0.0062951312	-0.294970662	3.6942405941
60	ICLE	GEAU3065	admit	present	obj	German	written	73	14	59	0	8	1	7	-0.0062951312	-0.294970662	7.4491280962
61	ICLE	GEAU3042	admit	present	obj	German	written	88	2	86	0	0	1	4	-0.0062951312	-0.294970662	3.2938498708
62	ICLE	GEAU3042	admit	present	obj	German	written	16	2	14	0	0	1	4	-0.0062951312	-0.294970662	3.2938498708
63	ICLE	GEAU1026	admit	present	obj	German	written	74	2	72	0	0	1	0	-0.0062951312	-0.294970662	3.2938498708
64	ICLE	SPM03049	admit	present	obj	Spanish	written	48	2	46	0	0	4	0	-0.0062951312	-0.294970662	3.2938498708
65	ICLE	GEAU2035	admit	present	obj	German	written	98	2	96	0	0	1	0	-0.0062951312	-0.294970662	3.2938498708
66	ICLE	GEAU1068	admit	present	obj	German	written	42	14	28	0	0	4	3	-0.0062951312	-0.294970662	11.9085597149
67	ICLE	GEAU3054	admit	present	obj	German	written	69	42	27	0	0	1	0	-0.0062951312	-0.294970662	8.1012047928
68	ICE-GB	S2A-031	admit	present	obj	English	spoken	272	22	250	0	0	2	0	-0.0062951312	-0.294970662	8.9085597149
69	ICLE	GESA5012	admit	present	obj	German	written	20	3	17	0	8	1	6	-0.0062951312	-0.294970662	7.0016691193
70	ICE-GB	S1B-053	admit	present	obj	English	spoken	72	21	51	0	0	3	7	-0.0062951312	-0.294970662	4.4087138278
71	ICE-GB	S1B-056	admit	present	obj	English	spoken	187	21	166	0	0	29	0	-0.0062951312	-0.294970662	4.4087138278
72	ICLE	GEAU3041	admit	present	obj	German	written	41	23	18	0	12	1	7	-0.0062951312	-0.294970662	4.4087138278
73	ICLE	GEAU3010	admit	present	obj	German	written	104	10	94	0	9	1	4	-0.0062951312	-0.294970662	4.4087138278
74	ICLE	GEAU3010	admit	present	obj	German	written	104	88	16	0	0	1	0	-0.0062951312	-0.294970662	4.4087138278
75	ICE-GB	S1B-049	admit	absent	obj	English	spoken	32	1	31	0	0	1	0	-0.0062951312	-0.294970662	4.4087138278
76	ICLE	GEBA1047	admit	present	obj	German	written	50	9	41	0	0	2	0	-0.0062951312	-0.294970662	4.4087138278
77	ICLE	GEAU1099	admit	present	obj	German	written	46	5	41	0	4	7	7	-0.0062951312	-0.294970662	6.8641655955
78	ICLE	SPM06003	admit	present	obj	Spanish	written	37	4	33	0	0	4	41	-0.0062951312	-0.294970662	5.8000352581
79	ICLE	GEAU3072	admit	present	obj	German	written	37	4	33	0	2	4	5	-0.0062951312	-0.294970662	5.8000352581
80	ICLE	GESA5031	admit	present	obj	German	written	84	1	83	0	0	1	0	-0.0062951312	-0.294970662	8.1012047928
81	ICE-GB	S1B-038	admit	absent	obj	English	spoken	246	2	244	0	0	1	0	-0.0062951312	-0.294970662	8.1012047928
82	ICE-GB	W2C-019	admit	present	obj	English	written	38	3	35	0	0	3	0	-0.0062951312	-0.294970662	6.3539708632
83	ICE-GB	S1A-080	admit	absent	obj	English	spoken	64	8	56	0	0	2	0	-0.0062951312	-0.294970662	6.8885253115
84	ICE-GB	S2B-016	admit	absent	obj	English	spoken	122	10	112	0	0	29	0	-0.0062951312	-0.294970662	4.8741700186
85	ICE-GB	W2B-011	agree	present	obj	English	written	67	2	65	0	61	5	0	-0.0110229433	-0.4419295794	8.2059709968
86	ICLE	GESA5032	agree	present	obj	German	written	22	2	20	0	44	7	2	-0.0110229433	-0.4419295794	6.778549773
87	ICE-GB	S1B-054	agree	absent	obj	English	spoken	243	2	241	0	0	9	0	-0.0110229433	-0.4419295794	6.778549773
88	ICLE	GEAU1042	agree	present	obj	German	written	216	2	214	0	0	30	0	-0.0110229433	-0.4419295794	6.778549773
89	ICE-GB	S1A-031	agree	absent	obj	English	spoken	37	2	35	0	0	1	0	-0.0110229433	-0.4419295794	6.778549773
90	ICLE	GESA3001	agree	present	obj	German	written	42	2	40	0	0	1	0	-0.0110229433	-0.4419295794	6.778549773
91	ICLE	GEBA1002	agree	present	obj	German	written	46	33	13	0	15	1	0	-0.0110229433	-0.4419295794	6.0752673051
92	ICE-GB	W1A-015	agree	present	obj	English	written	125	24	101	0	0	1	0	-0.0110229433	-0.4419295794	6.0752673051
93	ICE-GB	S1B-052	agree	present	obj	English	spoken	191	40	151	0	114	26	0	-0.0110229433	-0.4419295794	6.0752673051
94	ICE-GB	W1A-001	agree	present	obj	English	written	119	86	33	0	0	22	0	-0.0110229433	-0.4419295794	6.0752673051
95	ICLE	GEAU3086	agree	present	obj	German	written	123	73	50	0	0	21	0	-0.0110229433	-0.4419295794	6.0752673051
96	ICE-GB	W2B-031	agree	present	obj	English	written	77	5	72	0	0	18	0	-0.0110229433	-0.4419295794	8.3090644897
97	ICE-GB	S2B-050	agree	present	obj	English	spoken	73	5	68	0	0	1	0	-0.0110229433	-0.4419295794	8.3090644897
98	ICLE	GEAU3090	agree	present	obj	German	written	34	4	30	0	0	47	0	-0.0110229433	-0.4419295794	8.5403900358
99	ICLE	GEBA1010	agree	present	obj	German	written	83	4	79	0	9	11	5	-0.0110229433	-0.4419295794	8.5403900358
100	ICE-GB	S1B-030	agree	present	obj	English	spoken	28	4	24	0	9	2	3	-0.0110229433	-0.4419295794	9.0639519919
101	ICE-GB	S1B-057	agree	present	obj	English	spoken	289	10	279	0	0	27	0	-0.0110229433	-0.4419295794	9.0639519919
102	ICE-GB	S1B-052	agree	present	obj	English	spoken	50	4	46	0	0	29	0	-0.0110229433	-0.4419295794	9.0639519919
103	ICLE	SPM02014	agree	absent	obj	Spanish	written	30	4	26	0	8	12	5	-0.0110229433	-0.4419295794	9.0639519919
104	ICE-GB	S1B-075	agree	present	obj	English	spoken	129	2	127	0	0	3	0	-0.0110229433	-0.4419295794	8.9764891507
105	ICLE	GEAU3008	announce	present	obj	German	written	129	2	127	6	0	1	4	-0.0008738238	-0.2700242718	6.5515882424
106	ICE-GB	S1B-077	appreciate	present	obj	English	spoken	28	2	26	0	0	1	0	-0.0016995381	-0.4202306292	4.1288314604
107	ICE-GB	S2B-002	be	absent	sub	English	spoken	55	2	53	0	0	9	0	-0.1132639249	-0.4056103957	11.3073229684
108	ICE-GB	S2B-013	argue	present	obj	English	spoken	139	2	137	0	0	11	0	-0.0107643962	-0.4861442389	8.9557709931
109	ICLE	SPM08009	argue	present	obj	Spanish	written	17	3	14	0	0	46	0	-0.0107643962	-0.4861442389	9.8037678996
110	ICLE	GEAU3090	argue	present	obj	German	written	86	76	10	0	0	8	0	-0.0107643962	-0.4861442389	4.8683081518
111	ICLE	GEDR1010	argue	present	obj	German	written	51	21	30	0	0	3	0	-0.0107643962	-0.4861442389	4.8683081518
112	ICLE	GEAU3096	argue	present	obj	German	written	104	56	48	0	0	3	0	-0.0107643962	-0.4861442389	4.8683081518
113	ICLE	SPM08009	argue	present	obj	Spanish	written	39	10	29	0	0	2	5	-0.0107643962	-0.4861442389	4.8683081518
114	ICE-GB	S2B-023	argue	present	obj	English	spoken	92	12	80	0	0	6	0	-0.0107643962	-0.4861442389	4.8683081518
115	ICLE	GESA4012	argue	present	obj	German	written	55	17	38	0	0	11	0	-0.0107643962	-0.4861442389	4.8683081518
116	ICLE	SPM04049	argue	present	obj	Spanish	written	57	11	46	13	0	7	0	-0.0107643962	-0.4861442389	5.6583216435
117	ICE-GB	W2E-005	argue	present	obj	English	written	187	101	86	0	0	2	0	-0.0107643962	-0.4861442389	5.31709211
118	ICE-GB	S2B-013	argue	present	obj	English	spoken	215	39	176	0	0	12	0	-0.0107643962	-0.4861442389	5.31709211
119	ICE-GB	W2C-006	argue	present	obj	English	written	173	40	133	0	0	43	0	-0.0107643962	-0.4861442389	5.31709211
120	ICE-GB	S1B-047	argue	present	obj	English	spoken	267	24	243	0	0	2	0	-0.0107643962	-0.4861442389	5.31709211
121	ICE-GB	W2C-005	argue	present	obj	English	written	95	41	54	0	73	2	0	-0.0107643962	-0.4861442389	5.31709211
122	ICE-GB	S2A-053	assume	present	obj	English	spoken	98	4	94	0	23	2	0	-0.0078984506	-0.3845328075	6.904384296
123	ICE-GB	S2A-053	assume	present	obj	English	spoken	261	2	259	0	0	2	0	-0.0078984506	-0.3845328075	7.6819918747
124	ICE-GB	S1A-082	assume	absent	obj	English	spoken	59	3	56	0	0	1	0	-0.0078984506	-0.3845328075	5.6649183613
125	ICE-GB	S2A-064	assume	present	obj	English	spoken	77	3	74	0	0	1	0	-0.0078984506	-0.3845328075	5.6649183613
126	ICE-GB	S1A-082	assume	absent	obj	English	spoken	120	3	117	0	0	1	0	-0.0078984506	-0.3845328075	5.6649183613
127	ICE-GB	S1A-082	assume	absent	obj	English	spoken	187	3	184	0	0	1	0	-0.0078984506	-0.3845328075	5.6649183613
128	ICE-GB	S1A-079	assume	present	obj	English	spoken	160	3	157	0	34	4	0	-0.0078984506	-0.3845328075	5.6649183613
129	ICE-GB	W1B-022	assume	present	obj	English	written	45	3	42	0	0	1	0	-0.0078984506	-0.3845328075	5.6649183613
130	ICE-GB	W2B-016	be	present	sub	English	written	66	2	64	0	40	7	0	-0.1132639249	-0.4056103957	9.3540719805
131	ICE-GB	W2E-008	be	present	sub	English	written	109	2	107	0	0	26	0	-0.1132639249	-0.4056103957	9.3540719805
132	ICLE	GESA3010	be	present	sub	German	written	37	28	9	0	5	2	8	-0.1132639249	-0.4056103957	5.1523491072
133	ICLE	GESA2003	be	present	sub	German	written	54	22	32	0	71	2	5	-0.1132639249	-0.4056103957	5.1523491072
134	ICLE	GEBA1012	be	present	sub	German	written	48	9	39	0	0	37	0	-0.1132639249	-0.4056103957	5.1523491072
135	ICE-GB	S1B-001	be	present	sub	English	spoken	381	142	239	0	0	25	0	-0.1132639249	-0.4056103957	5.1523491072
136	ICLE	GEAU3066	be	present	sub	German	written	81	50	31	0	0	2	4	-0.1132639249	-0.4056103957	5.1523491072
137	ICLE	GEAU4010	be	present	sub	German	written	38	1	37	0	0	55	0	-0.1132639249	-0.4056103957	10.8002796646
138	ICE-GB	S2B-030	believe	absent	obj	English	spoken	164	65	99	0	0	2	0	-0.0147990402	-0.1627182684	6.6920633327
139	ICE-GB	W2E-009	believe	present	obj	English	written	93	15	78	0	0	4	0	-0.0147990402	-0.1627182684	6.6920633327
140	ICLE	GEAU3089	believe	present	obj	German	written	140	79	61	0	0	2	0	-0.0147990402	-0.1627182684	6.6920633327
141	ICLE	SPM04039	believe	present	obj	Spanish	written	42	8	34	0	0	1	8	-0.0147990402	-0.1627182684	6.6920633327
142	ICE-GB	W2C-005	believe	present	obj	English	written	116	50	66	0	0	3	0	-0.0147990402	-0.1627182684	6.6920633327
143	ICLE	SPM03043	believe	present	obj	Spanish	written	41	10	31	0	0	4	0	-0.0147990402	-0.1627182684	8.6514213482
144	ICLE	GEAU3091	believe	present	obj	German	written	171	9	162	0	59	2	0	-0.0147990402	-0.1627182684	8.6514213482
145	ICE-GB	S2B-044	believe	present	obj	English	spoken	231	10	221	0	0	2	0	-0.0147990402	-0.1627182684	8.6514213482
146	ICE-GB	S2A-045	believe	present	obj	English	spoken	141	4	137	0	8	1	0	-0.0147990402	-0.1627182684	8.5989539283
147	ICE-GB	S2B-027	believe	present	obj	English	spoken	82	30	52	0	0	4	0	-0.0147990402	-0.1627182684	10.8213463497
148	ICLE	SPM03044	believe	present	obj	Spanish	written	50	38	12	0	0	4	0	-0.0147990402	-0.1627182684	10.8213463497
149	ICE-GB	S1B-040	believe	present	obj	English	spoken	88	2	86	0	0	1	0	-0.0147990402	-0.1627182684	5.8101190943
150	ICE-GB	S1B-069	believe	absent	obj	English	spoken	21	2	19	0	0	1	0	-0.0147990402	-0.1627182684	5.8101190943
151	ICE-GB	S2B-012	believe	absent	obj	English	spoken	43	2	41	0	0	1	0	-0.0147990402	-0.1627182684	5.8101190943
152	ICE-GB	S2B-028	believe	present	obj	English	spoken	79	2	77	0	0	1	0	-0.0147990402	-0.1627182684	5.8101190943
153	ICE-GB	S1B-063	believe	absent	obj	English	spoken	20	2	18	0	0	1	0	-0.0147990402	-0.1627182684	5.8101190943
154	ICE-GB	W1A-018	believe	present	obj	English	written	34	12	22	0	0	1	0	-0.0147990402	-0.1627182684	7.3402196599
155	ICE-GB	W1B-005	believe	present	obj	English	written	38	1	37	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
156	ICE-GB	S1B-069	believe	absent	obj	English	spoken	32	1	31	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
157	ICE-GB	S1B-070	believe	present	obj	English	spoken	21	1	20	0	7	1	0	-0.0147990402	-0.1627182684	6.0531620249
158	ICE-GB	S2B-020	believe	present	obj	English	spoken	57	1	56	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
159	ICE-GB	S2B-025	believe	present	obj	English	spoken	39	1	38	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
160	ICE-GB	S1B-074	believe	absent	obj	English	spoken	24	1	23	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
161	ICE-GB	S1B-063	believe	absent	obj	English	spoken	5	1	4	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
162	ICE-GB	W2F-012	believe	absent	obj	English	written	81	1	80	0	0	3	0	-0.0147990402	-0.1627182684	6.0531620249
163	ICE-GB	S2B-020	believe	present	obj	English	spoken	91	1	90	0	0	1	0	-0.0147990402	-0.1627182684	6.0531620249
164	ICE-GB	S2A-064	believe	present	obj	English	spoken	226	1	225	0	0	1	0	-0.0147990402	-0.1627182684	3.7943619086
165	ICE-GB	S2B-003	believe	absent	obj	English	spoken	289	2	287	0	0	1	0	-0.0147990402	-0.1627182684	3.7943619086
166	ICLE	GESA4010	believe	present	obj	German	written	104	2	102	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
167	ICE-GB	W2B-017	believe	present	obj	English	written	111	2	109	0	54	1	0	-0.0147990402	-0.1627182684	3.29974591
168	ICE-GB	S2B-006	believe	absent	obj	English	spoken	42	2	40	0	0	4	0	-0.0147990402	-0.1627182684	3.29974591
169	ICLE	GESA5032	believe	present	obj	German	written	62	2	60	0	0	6	0	-0.0147990402	-0.1627182684	3.29974591
170	ICLE	GESA5031	believe	present	obj	German	written	43	2	41	0	0	1	5	-0.0147990402	-0.1627182684	3.29974591
171	ICLE	GESA3007	believe	present	obj	German	written	137	2	135	0	12	1	0	-0.0147990402	-0.1627182684	3.29974591
172	ICLE	SPM07018	believe	present	obj	Spanish	written	23	2	21	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
173	LINDSEI	SP003	believe	absent	obj	Spanish	spoken	9	2	7	0	0	3	0	-0.0147990402	-0.1627182684	3.29974591
174	ICE-GB	S1B-069	believe	absent	obj	English	spoken	7	2	5	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
175	ICE-GB	S1B-070	believe	present	obj	English	spoken	56	2	54	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
176	ICE-GB	S2B-016	believe	absent	obj	English	spoken	22	2	20	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
177	ICLE	GEBA1022	believe	present	obj	German	written	35	2	33	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
178	ICLE	GEAU2007	believe	present	obj	German	written	95	2	93	0	0	18	0	-0.0147990402	-0.1627182684	3.29974591
179	ICE-GB	S1B-053	believe	absent	obj	English	spoken	34	2	32	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
180	ICLE	GEAU4009	believe	absent	obj	German	written	47	2	45	0	90	1	0	-0.0147990402	-0.1627182684	3.29974591
181	ICE-GB	S2A-031	believe	present	obj	English	spoken	9	2	7	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
182	ICE-GB	S1B-069	believe	absent	obj	English	spoken	6	2	4	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
183	ICE-GB	S1B-020	believe	present	obj	English	spoken	114	2	112	0	17	2	0	-0.0147990402	-0.1627182684	3.29974591
184	ICE-GB	S1B-035	believe	present	obj	English	spoken	91	2	89	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
185	ICLE	GEAU2001	believe	present	obj	German	written	110	2	108	0	0	1	0	-0.0147990402	-0.1627182684	3.29974591
186	ICE-GB	W2C-015	believe	absent	obj	English	written	89	2	87	0	0	29	0	-0.0147990402	-0.1627182684	3.29974591
187	ICLE	SPM01007	believe	present	obj	Spanish	written	78	2	76	0	12	1	0	-0.0147990402	-0.1627182684	3.29974591
188	ICLE	GESA5032	believe	absent	obj	German	written	17	2	15	0	0	4	0	-0.0147990402	-0.1627182684	3.29974591
189	ICLE	GEAU1068	believe	absent	obj	German	written	85	2	83	0	0	1	14	-0.0147990402	-0.1627182684	3.29974591
190	ICE-GB	S1B-052	believe	absent	obj	English	spoken	103	26	77	0	0	1	0	-0.0147990402	-0.1627182684	7.7624526606
191	ICE-GB	S2B-037	believe	present	obj	English	spoken	92	44	48	0	0	35	0	-0.0147990402	-0.1627182684	10.8213463497
192	ICLE	GEDR1011	believe	present	obj	German	written	89	5	84	0	0	12	0	-0.0147990402	-0.1627182684	10.4994182548
193	ICLE	GEAU4009	believe	present	obj	German	written	79	29	50	0	0	1	0	-0.0147990402	-0.1627182684	11.5989539283
194	ICE-GB	S1B-034	believe	absent	obj	English	spoken	100	6	94	0	0	3	0	-0.0147990402	-0.1627182684	10.4063088504
195	LINDSEI	GE004	believe	absent	obj	German	spoken	21	3	18	0	0	4	5	-0.0147990402	-0.1627182684	7.0226045579
196	ICLE	SPM01007	believe	present	obj	Spanish	written	47	24	23	0	9	1	6	-0.0147990402	-0.1627182684	10.0843807555
197	ICE-GB	S2A-040	believe	present	obj	English	spoken	42	11	31	0	0	1	0	-0.0147990402	-0.1627182684	9.4994182548
198	ICE-GB	S1B-069	believe	absent	obj	English	spoken	14	4	10	0	0	1	0	-0.0147990402	-0.1627182684	1.7909091067
199	ICE-GB	S1B-036	believe	present	obj	English	spoken	64	4	60	0	0	1	0	-0.0147990402	-0.1627182684	1.7909091067
200	ICE-GB	S1B-065	believe	present	obj	English	spoken	38	4	34	0	0	1	0	-0.0147990402	-0.1627182684	1.7909091067
201	ICE-GB	W1B-020	believe	absent	obj	English	written	96	25	71	0	30	1	0	-0.0147990402	-0.1627182684	4.1919897296
202	ICE-GB	S1B-040	believe	present	obj	English	spoken	173	26	147	0	0	1	16	-0.0147990402	-0.1627182684	4.1919897296
203	ICLE	SPM02006	believe	present	obj	Spanish	written	57	36	21	0	7	1	0	-0.0147990402	-0.1627182684	4.1919897296
204	ICE-GB	W2A-014	believe	present	obj	English	written	72	24	48	0	2	2	0	-0.0147990402	-0.1627182684	4.1919897296
205	ICE-GB	S2B-015	believe	absent	obj	English	spoken	96	66	30	0	0	15	0	-0.0147990402	-0.1627182684	4.1919897296
206	ICE-GB	S1B-055	believe	present	obj	English	spoken	106	61	45	0	0	1	0	-0.0147990402	-0.1627182684	4.1919897296
207	ICE-GB	S1B-035	believe	present	obj	English	spoken	204	50	154	0	37	3	0	-0.0147990402	-0.1627182684	4.1919897296
208	ICE-GB	W2C-002	believe	absent	obj	English	written	103	13	90	0	0	14	0	-0.0147990402	-0.1627182684	4.1919897296
209	ICLE	GESA4011	believe	present	obj	German	written	27	12	15	0	0	1	0	-0.0147990402	-0.1627182684	4.1919897296
210	ICE-GB	W2F-004	believe	present	obj	English	written	128	27	101	0	0	2	0	-0.0147990402	-0.1627182684	4.1919897296
211	ICE-GB	W1B-024	believe	present	obj	English	written	60	8	52	0	2	1	0	-0.0147990402	-0.1627182684	4.1919897296
212	ICE-GB	W1B-024	believe	present	obj	English	written	96	11	85	0	0	1	0	-0.0147990402	-0.1627182684	4.1919897296
213	ICE-GB	W2B-028	believe	present	obj	English	written	40	10	30	0	0	15	0	-0.0147990402	-0.1627182684	4.1919897296
