CASE	DURATION	POSINTURN	SEX	CLASS	LENGTH	VOWELS	SURPRISAL	FREQ
482	46	5	female	closed	1	one	3	15
483	186	6	female	open	4	one	3	14
484	120	7	female	closed	2	two+	0	17
485	101	8	female	closed	2	one	8	14
486	623	9	female	open	4	two+	8	7
487	138	10	female	closed	1	one	2	17
488	438	1	male	closed	8	one	11	11
489	143	2	male	closed	4	two+	8	12
490	107	3	male	closed	3	one	2	16
491	122	4	male	open	3	two+	7	13
492	133	5	male	closed	3	two+	6	16
493	99	6	male	closed	1	one	6	17
494	387	7	male	open	6	two+	16	3
495	227	8	male	open	2	two+	2	12
496	187	9	male	closed	3	one	8	15
497	250	10	male	closed	2	one	2	16
498	136	2	female	closed	3	one	6	17
499	151	4	female	closed	3	two+	5	16
500	113	5	female	closed	2	one	3	18
501	232	6	female	closed	3	one	6	15
502	140	7	female	closed	2	two+	2	18
503	312	8	female	open	8	two+	18	4
504	156	9	female	closed	2	two+	3	17
505	357	10	female	unclear	5	one	17	1
506	235	1	male	number	5	two+	10	12
507	191	2	male	open	5	two+	3	12
508	34	4	male	closed	2	two+	2	17
509	246	5	male	open	6	two+	12	8
510	153	6	male	open	4	two+	8	9
511	151	7	male	closed	2	two+	1	18
512	180	8	male	number	3	one	9	15
513	226	9	male	open	4	two+	7	11
514	237	10	male	closed	2	one	7	13
515	202	1	female	number	4	one	10	13
516	186	2	female	closed	2	one	3	17
517	813	3	female	propname	3	one	10	8
518	100	4	female	closed	1	one	5	18
519	28	5	female	closed	2	one	3	16
520	23	6	female	closed	2	two+	1	16
521	77	7	female	open	2	one	3	15
522	209	8	female	closed	3	one	3	16
523	220	9	female	closed	2	one	7	17
524	158	1	male	number	4	one	10	13
525	110	2	male	open	3	two+	4	13
526	127	3	male	closed	2	two+	4	17
527	95	5	male	closed	2	two+	6	16
528	154	6	male	open	4	one	13	10
529	204	7	male	closed	2	two+	6	18
530	279	9	male	open	5	one	10	9
531	152	10	male	closed	2	two+	9	13
532	166	1	female	number	4	one	10	13
533	200	2	female	open	3	two+	4	14
534	188	3	female	closed	1	one	4	18
535	110	4	female	open	4	two+	7	13
536	90	7	female	open	2	two+	15	5
537	106	8	female	closed	1	one	4	18
538	197	10	female	unclear	3	one	7	15
539	321	1	male	number	2	one	9	13
540	231	2	male	open	4	two+	6	11
541	134	3	male	closed	2	one	4	16
542	298	5	male	open	3	one	12	10
543	508	6	male	propname	6	one	10	10
544	206	7	male	open	3	two+	3	12
545	149	8	male	closed	2	one	7	15
546	311	10	male	number	4	one	6	12
547	134	1	female	propname	3	two+	14	8
548	184	2	female	open	5	two+	7	10
549	69	3	female	closed	1	one	3	17
550	351	4	female	open	6	two+	13	6
551	130	5	female	closed	2	two+	5	16
552	85	6	female	closed	3	one	9	14
553	235	8	female	open	4	two+	11	7
554	110	9	female	closed	2	two+	7	18
555	391	10	female	open	4	two+	12	8
556	176	1	male	open	3	two+	9	13
557	260	3	male	open	4	two+	7	10
558	268	4	male	open	4	two+	6	15
559	567	5	male	number	7	one	10	10
560	191	6	male	open	4	one	7	10
561	115	7	male	closed	2	two+	5	17
562	120	8	male	closed	3	one	5	16
563	314	10	male	open	5	two+	15	5
564	134	3	female	open	3	one	7	12
565	288	4	female	open	6	one	12	8
566	129	5	female	open	2	two+	8	15
567	189	6	female	closed	4	one	7	12
568	95	7	female	closed	2	two+	6	15
569	299	10	female	open	4	two+	9	14
570	75	1	female	closed	3	two+	7	16
571	95	2	female	closed	2	one	3	18
572	158	5	female	number	3	one	8	15
573	303	7	female	closed	3	one	6	13
574	236	8	female	open	4	two+	13	5
575	382	9	female	open	5	one	5	8
576	293	10	female	open	4	two+	8	13
577	222	3	female	open	5	two+	8	12
578	58	4	female	closed	1	one	3	17
579	45	5	female	open	3	one	4	13
580	230	8	female	open	5	two+	12	8
581	236	9	female	open	3	two+	5	12
582	316	10	female	open	3	one	10	5
583	158	1	male	closed	2	two+	7	16
584	256	2	male	open	3	two+	6	12
585	294	3	male	closed	5	one	12	6
586	97	4	male	closed	2	one	6	14
587	226	5	male	open	5	two+	7	9
588	37	6	male	closed	2	one	5	14
589	129	7	male	closed	1	one	2	17
590	710	9	male	open	8	two+	15	0
591	478	10	male	open	4	two+	0	5
592	307	7	male	open	3	two+	10	14
593	152	8	male	closed	2	two+	4	17
594	82	9	male	open	2	two+	8	10
595	402	10	male	closed	6	one	6	12
596	85	1	male	closed	2	two+	7	16
597	57	2	male	closed	3	one	5	14
598	128	3	male	closed	2	one	3	16
599	140	5	male	closed	1	one	4	17
600	155	6	male	open	3	two+	4	13
601	189	7	male	closed	2	one	0	17
602	371	8	male	propname	6	two+	17	5
603	184	9	male	closed	3	one	3	17
604	427	10	male	propname	4	one	13	8
605	120	1	female	closed	2	two+	7	16
606	125	2	female	open	3	one	3	14
607	141	4	female	closed	3	one	3	16
608	197	5	female	open	5	two+	8	12
609	162	6	female	closed	2	two+	3	14
610	118	8	female	closed	3	one	6	15
611	154	10	female	closed	2	two+	5	16
612	263	2	male	closed	2	one	8	14
613	97	4	male	closed	3	one	3	16
614	184	5	male	open	2	two+	12	13
615	365	6	male	closed	4	one	8	12
616	355	7	male	propname	5	one	9	10
617	133	8	male	closed	3	one	4	16
618	76	9	male	closed	2	one	4	16
619	482	2	female	open	4	two+	3	4
620	185	3	female	open	3	two+	4	10
621	202	4	female	open	3	one	9	11
622	120	5	female	closed	3	one	6	16
623	126	7	female	closed	2	one	4	18
624	167	8	female	open	4	two+	13	6
625	231	10	female	open	3	two+	7	12
626	113	1	male	closed	2	two+	14	8
627	98	2	male	closed	1	one	5	18
628	76	3	male	closed	1	one	4	14
629	490	4	male	open	7	two+	12	10
630	215	5	male	closed	3	two+	8	13
631	266	6	male	open	3	one	8	13
632	156	8	male	closed	3	one	7	14
633	202	9	male	open	3	two+	6	13
634	197	1	female	closed	2	one	9	14
635	213	2	female	open	2	two+	6	11
636	241	3	female	closed	4	one	9	12
637	127	5	female	closed	2	one	6	16
638	96	7	female	closed	2	one	2	17
639	204	8	female	open	2	two+	4	14
640	154	10	female	closed	3	two+	4	17
641	194	2	female	open	3	one	4	12
642	95	3	female	closed	2	one	7	16
643	45	4	female	closed	2	two+	2	18
644	50	6	female	closed	2	one	3	17
645	66	7	female	closed	1	one	6	14
646	183	8	female	open	3	two+	5	13
647	109	9	female	closed	2	one	6	14
648	140	1	female	closed	1	one	5	18
649	49	2	female	closed	1	one	4	14
650	183	3	female	open	3	one	6	11
651	100	4	female	closed	2	two+	1	17
652	152	5	female	closed	2	two+	7	15
653	136	6	female	closed	2	one	4	17
654	145	7	female	closed	2	one	4	16
655	119	8	female	closed	1	one	6	18
656	351	10	female	closed	5	one	9	14
657	137	1	male	closed	1	one	5	18
658	97	2	male	closed	1	one	3	14
659	260	4	male	open	3	two+	10	12
660	337	5	male	open	3	one	11	12
661	182	6	male	closed	2	one	9	15
662	233	7	male	closed	3	one	6	15
663	233	8	male	open	3	two+	11	12
664	265	9	male	open	3	two+	11	12
665	337	10	male	open	4	two+	12	8
666	81	1	female	closed	1	one	5	18
667	79	2	female	closed	1	one	3	14
668	56	3	female	open	3	two+	3	13
669	360	10	female	propname	6	one	10	10
670	64	2	female	closed	1	one	3	14
671	276	5	female	open	4	two+	9	9
672	129	6	female	closed	2	one	4	18
673	235	7	female	open	4	one	14	5
674	118	8	female	closed	2	one	2	17
675	262	10	female	open	3	two+	13	4
676	90	1	female	closed	1	one	5	18
677	39	2	female	closed	1	one	3	14
678	114	3	female	closed	3	one	2	15
679	45	4	female	open	3	two+	5	13
680	86	6	female	closed	2	one	3	16
681	38	7	female	closed	2	two+	4	17
682	51	8	female	closed	2	two+	6	17
683	444	10	female	open	5	two+	9	9
684	153	2	female	closed	1	one	4	15
685	150	3	female	closed	1	one	6	18
686	172	4	female	closed	1	one	4	15
687	241	5	female	closed	3	one	13	13
688	284	6	female	open	4	two+	10	8
689	131	7	female	closed	3	one	4	16
690	297	8	female	open	4	one	13	7
691	231	9	female	closed	2	one	6	14
692	316	10	female	open	3	two+	9	15
693	100	1	male	closed	1	one	5	18
694	159	2	male	closed	1	one	4	15
695	376	3	male	closed	3	one	3	14
696	257	4	male	closed	2	one	5	17
697	262	5	male	open	3	two+	6	13
698	181	6	male	closed	2	one	3	18
699	607	7	male	open	8	one	16	5
700	313	8	male	open	2	two+	5	16
701	129	9	male	closed	2	two+	7	17
702	314	10	male	open	3	one	14	9
703	93	1	male	closed	1	one	5	18
704	75	2	male	closed	1	one	4	15
705	166	3	male	open	4	two+	5	15
706	167	4	male	closed	3	one	6	14
707	181	5	male	closed	3	one	5	15
708	97	6	male	open	4	two+	9	15
709	74	7	male	closed	1	one	4	17
710	228	8	male	open	4	two+	5	13
711	228	9	male	open	3	two+	6	11
712	266	10	male	closed	3	one	7	13
713	185	1	male	closed	1	one	5	18
714	166	2	male	closed	1	one	5	18
715	196	3	male	closed	3	one	5	15
716	174	4	male	open	4	two+	6	15
717	207	7	male	open	3	two+	13	9
718	74	9	male	closed	2	one	2	18
719	176	10	male	open	4	two+	10	10
720	86	1	male	closed	1	one	5	18
721	85	2	male	closed	1	one	5	18
722	38	4	male	closed	2	two+	3	17
723	134	6	male	closed	2	two+	2	16
724	127	7	male	closed	2	two+	6	15
725	142	8	male	number	3	one	8	14
726	118	9	male	closed	2	two+	5	17
727	110	10	male	closed	2	one	6	18
728	121	1	male	closed	1	one	5	18
