CASE	CONSTRUCTION	GIVENNESS
170	verb-particle-object	given
171	verb-particle-object	given
172	verb-particle-object	given
173	verb-particle-object	given
174	verb-particle-object	given
175	verb-particle-object	given
176	verb-particle-object	given
177	verb-particle-object	given
178	verb-particle-object	given
179	verb-particle-object	given
180	verb-particle-object	given
181	verb-particle-object	given
182	verb-particle-object	given
183	verb-particle-object	given
184	verb-particle-object	given
185	verb-particle-object	given
186	verb-particle-object	given
187	verb-particle-object	given
188	verb-particle-object	given
189	verb-particle-object	given
190	verb-particle-object	given
191	verb-particle-object	given
192	verb-particle-object	given
193	verb-particle-object	given
194	verb-particle-object	given
195	verb-particle-object	given
196	verb-particle-object	given
197	verb-particle-object	given
198	verb-particle-object	given
199	verb-particle-object	given
200	verb-particle-object	given
201	verb-particle-object	given
202	verb-particle-object	given
203	verb-particle-object	given
204	verb-particle-object	given
205	verb-particle-object	given
206	verb-particle-object	given
207	verb-particle-object	given
208	verb-particle-object	given
209	verb-particle-object	given
210	verb-particle-object	given
211	verb-particle-object	given
212	verb-particle-object	given
213	verb-particle-object	given
214	verb-particle-object	given
215	verb-particle-object	given
216	verb-particle-object	given
217	verb-particle-object	given
218	verb-particle-object	given
219	verb-particle-object	given
220	verb-particle-object	given
221	verb-particle-object	given
222	verb-particle-object	given
223	verb-particle-object	given
224	verb-particle-object	given
225	verb-particle-object	given
226	verb-particle-object	given
227	verb-particle-object	given
228	verb-particle-object	given
229	verb-particle-object	given
230	verb-particle-object	given
231	verb-particle-object	given
232	verb-particle-object	given
233	verb-particle-object	given
234	verb-particle-object	given
235	verb-particle-object	given
236	verb-particle-object	given
237	verb-particle-object	given
238	verb-particle-object	given
239	verb-particle-object	given
240	verb-particle-object	given
241	verb-particle-object	given
242	verb-particle-object	given
243	verb-particle-object	given
244	verb-particle-object	given
245	verb-particle-object	given
246	verb-particle-object	given
247	verb-particle-object	given
248	verb-particle-object	given
249	verb-particle-object	given
250	verb-particle-object	given
251	verb-particle-object	new
252	verb-particle-object	new
253	verb-particle-object	new
254	verb-particle-object	new
255	verb-particle-object	new
256	verb-particle-object	new
257	verb-particle-object	new
258	verb-particle-object	new
259	verb-particle-object	new
260	verb-particle-object	new
261	verb-particle-object	new
262	verb-particle-object	new
263	verb-particle-object	new
264	verb-particle-object	new
265	verb-particle-object	new
266	verb-particle-object	new
267	verb-particle-object	new
268	verb-particle-object	new
269	verb-particle-object	new
270	verb-particle-object	new
271	verb-particle-object	new
272	verb-particle-object	new
273	verb-particle-object	new
274	verb-particle-object	new
275	verb-particle-object	new
276	verb-particle-object	new
277	verb-particle-object	new
278	verb-particle-object	new
279	verb-particle-object	new
280	verb-particle-object	new
281	verb-particle-object	new
282	verb-particle-object	new
283	verb-particle-object	new
284	verb-particle-object	new
285	verb-particle-object	new
286	verb-particle-object	new
287	verb-particle-object	new
288	verb-particle-object	new
289	verb-particle-object	new
290	verb-particle-object	new
291	verb-particle-object	new
292	verb-particle-object	new
293	verb-particle-object	new
294	verb-particle-object	new
295	verb-particle-object	new
296	verb-particle-object	new
297	verb-particle-object	new
298	verb-particle-object	new
299	verb-particle-object	new
300	verb-particle-object	new
301	verb-particle-object	new
302	verb-particle-object	new
303	verb-particle-object	new
304	verb-particle-object	new
305	verb-particle-object	new
306	verb-particle-object	new
307	verb-particle-object	new
308	verb-particle-object	new
309	verb-particle-object	new
310	verb-particle-object	new
311	verb-particle-object	new
312	verb-particle-object	new
313	verb-particle-object	new
314	verb-particle-object	new
315	verb-particle-object	new
316	verb-particle-object	new
317	verb-particle-object	new
318	verb-particle-object	new
319	verb-particle-object	new
320	verb-particle-object	new
321	verb-particle-object	new
322	verb-particle-object	new
323	verb-particle-object	new
324	verb-particle-object	new
325	verb-particle-object	new
326	verb-particle-object	new
327	verb-particle-object	new
328	verb-particle-object	new
329	verb-particle-object	new
330	verb-particle-object	new
331	verb-particle-object	new
332	verb-particle-object	new
333	verb-particle-object	new
334	verb-particle-object	new
335	verb-particle-object	new
336	verb-particle-object	new
337	verb-particle-object	new
338	verb-particle-object	new
339	verb-particle-object	new
340	verb-particle-object	new
341	verb-particle-object	new
342	verb-particle-object	new
343	verb-particle-object	new
344	verb-particle-object	new
345	verb-particle-object	new
346	verb-particle-object	new
347	verb-particle-object	new
348	verb-particle-object	new
349	verb-particle-object	new
350	verb-particle-object	new
351	verb-particle-object	new
352	verb-particle-object	new
353	verb-particle-object	new
354	verb-particle-object	new
355	verb-particle-object	new
356	verb-particle-object	new
357	verb-particle-object	new
358	verb-particle-object	new
359	verb-particle-object	new
360	verb-particle-object	new
361	verb-particle-object	new
362	verb-particle-object	new
363	verb-particle-object	new
364	verb-particle-object	new
365	verb-particle-object	new
366	verb-particle-object	new
367	verb-particle-object	new
368	verb-particle-object	new
369	verb-particle-object	new
370	verb-particle-object	new
371	verb-particle-object	new
372	verb-particle-object	new
373	verb-particle-object	new
374	verb-particle-object	new
375	verb-particle-object	new
376	verb-particle-object	new
377	verb-particle-object	new
378	verb-particle-object	new
379	verb-particle-object	new
380	verb-particle-object	new
381	verb-particle-object	new
382	verb-particle-object	new
383	verb-particle-object	new
384	verb-particle-object	new
385	verb-particle-object	new
386	verb-particle-object	new
387	verb-particle-object	new
388	verb-particle-object	new
389	verb-particle-object	new
390	verb-particle-object	new
391	verb-particle-object	new
392	verb-particle-object	new
393	verb-particle-object	new
394	verb-particle-object	new
395	verb-particle-object	new
396	verb-particle-object	new
397	verb-particle-object	new
