CASE	ORDER	CONJ
212	mc-sc	weil/because
213	mc-sc	weil/because
214	mc-sc	weil/because
215	mc-sc	weil/because
216	mc-sc	weil/because
217	mc-sc	weil/because
218	mc-sc	weil/because
219	mc-sc	weil/because
220	mc-sc	weil/because
221	mc-sc	weil/because
222	mc-sc	weil/because
223	mc-sc	weil/because
224	mc-sc	weil/because
225	mc-sc	weil/because
226	mc-sc	weil/because
227	mc-sc	weil/because
228	mc-sc	weil/because
229	mc-sc	weil/because
230	mc-sc	weil/because
231	mc-sc	weil/because
232	mc-sc	weil/because
233	mc-sc	weil/because
234	mc-sc	weil/because
235	mc-sc	weil/because
236	mc-sc	weil/because
237	mc-sc	weil/because
238	mc-sc	weil/because
239	mc-sc	weil/because
240	mc-sc	weil/because
241	mc-sc	weil/because
242	mc-sc	weil/because
243	mc-sc	weil/because
244	mc-sc	weil/because
245	mc-sc	weil/because
246	mc-sc	weil/because
247	mc-sc	weil/because
248	mc-sc	weil/because
249	mc-sc	weil/because
250	mc-sc	weil/because
251	mc-sc	weil/because
252	mc-sc	weil/because
253	mc-sc	weil/because
254	mc-sc	weil/because
255	mc-sc	weil/because
256	sc-mc	weil/because
257	mc-sc	weil/because
258	mc-sc	weil/because
259	mc-sc	weil/because
260	mc-sc	weil/because
261	mc-sc	weil/because
262	mc-sc	weil/because
263	mc-sc	weil/because
264	mc-sc	weil/because
265	mc-sc	weil/because
266	mc-sc	weil/because
267	mc-sc	weil/because
268	mc-sc	weil/because
269	mc-sc	weil/because
270	mc-sc	weil/because
271	mc-sc	weil/because
272	mc-sc	weil/because
273	mc-sc	weil/because
274	mc-sc	weil/because
275	mc-sc	weil/because
276	sc-mc	weil/because
277	mc-sc	weil/because
278	mc-sc	weil/because
279	mc-sc	weil/because
280	sc-mc	weil/because
281	sc-mc	weil/because
282	mc-sc	weil/because
283	mc-sc	weil/because
284	mc-sc	weil/because
285	mc-sc	weil/because
286	mc-sc	weil/because
287	mc-sc	weil/because
288	mc-sc	weil/because
289	mc-sc	weil/because
290	mc-sc	weil/because
291	mc-sc	weil/because
292	mc-sc	weil/because
293	mc-sc	weil/because
294	mc-sc	weil/because
295	mc-sc	weil/because
296	mc-sc	weil/because
297	mc-sc	weil/because
298	mc-sc	weil/because
299	mc-sc	weil/because
300	mc-sc	weil/because
301	mc-sc	weil/because
302	mc-sc	weil/because
303	mc-sc	weil/because
304	mc-sc	weil/because
305	mc-sc	weil/because
306	sc-mc	weil/because
307	mc-sc	weil/because
308	mc-sc	weil/because
309	mc-sc	weil/because
310	mc-sc	weil/because
311	mc-sc	weil/because
312	mc-sc	weil/because
313	mc-sc	weil/because
314	sc-mc	weil/because
315	mc-sc	weil/because
316	mc-sc	weil/because
317	mc-sc	weil/because
318	mc-sc	weil/because
319	mc-sc	weil/because
320	mc-sc	weil/because
321	mc-sc	weil/because
322	mc-sc	weil/because
323	mc-sc	weil/because
324	mc-sc	weil/because
325	mc-sc	weil/because
326	mc-sc	weil/because
327	mc-sc	weil/because
328	mc-sc	weil/because
329	sc-mc	weil/because
330	mc-sc	weil/because
331	mc-sc	weil/because
332	mc-sc	weil/because
333	mc-sc	weil/because
334	mc-sc	weil/because
335	sc-mc	weil/because
336	mc-sc	weil/because
337	mc-sc	weil/because
338	mc-sc	weil/because
339	mc-sc	weil/because
340	mc-sc	weil/because
341	mc-sc	weil/because
342	mc-sc	weil/because
343	sc-mc	weil/because
344	sc-mc	weil/because
345	mc-sc	weil/because
346	mc-sc	weil/because
347	mc-sc	weil/because
348	mc-sc	weil/because
349	mc-sc	weil/because
350	mc-sc	weil/because
351	sc-mc	weil/because
352	mc-sc	weil/because
353	mc-sc	weil/because
354	mc-sc	weil/because
355	mc-sc	weil/because
356	mc-sc	weil/because
357	mc-sc	weil/because
358	mc-sc	weil/because
359	mc-sc	weil/because
360	mc-sc	weil/because
361	mc-sc	weil/because
362	mc-sc	weil/because
363	mc-sc	weil/because
364	mc-sc	weil/because
365	mc-sc	weil/because
366	mc-sc	weil/because
367	mc-sc	weil/because
368	mc-sc	weil/because
369	mc-sc	weil/because
370	mc-sc	weil/because
371	mc-sc	weil/because
372	mc-sc	weil/because
373	mc-sc	weil/because
374	mc-sc	weil/because
375	mc-sc	weil/because
376	sc-mc	weil/because
377	sc-mc	weil/because
378	mc-sc	weil/because
379	mc-sc	weil/because
380	mc-sc	weil/because
381	mc-sc	weil/because
382	mc-sc	weil/because
383	mc-sc	weil/because
384	mc-sc	weil/because
385	mc-sc	weil/because
386	mc-sc	weil/because
387	mc-sc	weil/because
388	mc-sc	weil/because
389	mc-sc	weil/because
390	mc-sc	weil/because
391	mc-sc	weil/because
392	mc-sc	weil/because
393	mc-sc	weil/because
394	mc-sc	weil/because
395	mc-sc	weil/because
396	mc-sc	weil/because
397	mc-sc	weil/because
398	mc-sc	weil/because
399	mc-sc	weil/because
400	mc-sc	weil/because
401	mc-sc	weil/because
402	mc-sc	weil/because
403	sc-mc	weil/because
