CASE	ORDER	SCTYPE	CONJ	LENMC	LENSC	LENDIFF	MORETHAN2CL
64	sc-mc	temp	als/when	9	4	5	yes
65	sc-mc	temp	als/when	10	2	8	no
66	sc-mc	temp	als/when	10	10	0	no
67	mc-sc	temp	als/when	5	10	-5	no
68	sc-mc	temp	als/when	16	4	12	no
69	sc-mc	temp	als/when	8	3	5	no
70	sc-mc	temp	als/when	12	2	10	no
71	sc-mc	temp	als/when	17	8	9	no
72	sc-mc	temp	als/when	6	4	2	no
73	mc-sc	temp	als/when	7	17	-10	yes
74	sc-mc	temp	als/when	17	4	13	yes
75	mc-sc	temp	als/when	5	10	-5	yes
76	sc-mc	temp	als/when	10	7	3	no
77	sc-mc	temp	als/when	9	5	4	yes
78	sc-mc	temp	als/when	7	6	1	yes
79	sc-mc	temp	als/when	5	2	3	yes
80	sc-mc	temp	als/when	9	7	2	yes
81	mc-sc	temp	als/when	3	14	-11	yes
82	sc-mc	temp	als/when	7	16	-9	yes
83	mc-sc	temp	als/when	5	5	0	yes
84	mc-sc	temp	als/when	4	5	-1	no
85	mc-sc	temp	als/when	4	3	1	yes
86	mc-sc	temp	als/when	3	3	0	no
87	mc-sc	temp	als/when	6	3	3	no
88	sc-mc	temp	als/when	5	6	-1	yes
89	mc-sc	temp	als/when	8	5	3	no
90	sc-mc	temp	als/when	12	6	6	yes
91	sc-mc	temp	als/when	11	8	3	no
92	sc-mc	temp	als/when	4	3	1	no
93	sc-mc	temp	als/when	4	10	-6	yes
94	sc-mc	temp	bevor/before	12	5	7	yes
95	sc-mc	temp	bevor/before	17	14	3	yes
96	sc-mc	temp	bevor/before	3	7	-4	yes
97	sc-mc	temp	bevor/before	3	5	-2	yes
98	sc-mc	temp	bevor/before	8	5	3	yes
99	sc-mc	temp	bevor/before	3	4	-1	yes
100	mc-sc	temp	bevor/before	5	8	-3	no
101	mc-sc	temp	bevor/before	5	6	-1	no
102	mc-sc	temp	bevor/before	4	6	-2	yes
103	mc-sc	temp	bevor/before	11	6	5	yes
104	mc-sc	temp	bevor/before	11	9	2	no
105	mc-sc	temp	bevor/before	8	12	-4	no
106	mc-sc	temp	bevor/before	7	2	5	yes
107	mc-sc	temp	bevor/before	11	19	-8	yes
108	sc-mc	temp	bevor/before	10	6	4	no
109	sc-mc	temp	bevor/before	7	10	-3	no
110	mc-sc	temp	bevor/before	19	13	6	no
111	mc-sc	temp	bevor/before	9	5	4	no
112	sc-mc	temp	bevor/before	7	9	-2	no
113	sc-mc	temp	bevor/before	6	13	-7	yes
114	sc-mc	temp	bevor/before	10	7	3	no
115	mc-sc	temp	bevor/before	23	6	17	yes
116	mc-sc	temp	bevor/before	5	8	-3	no
117	mc-sc	temp	bevor/before	24	5	19	yes
118	sc-mc	temp	bevor/before	6	5	1	yes
119	mc-sc	temp	bevor/before	12	9	3	yes
120	sc-mc	temp	bevor/before	10	11	-1	yes
121	mc-sc	temp	bevor/before	9	6	3	no
122	sc-mc	temp	bevor/before	9	8	1	no
123	mc-sc	temp	bevor/before	17	4	13	yes
124	sc-mc	temp	bevor/before	4	3	1	yes
125	mc-sc	temp	bevor/before	7	3	4	no
126	mc-sc	temp	bevor/before	11	4	7	no
127	mc-sc	temp	bevor/before	13	4	9	no
128	mc-sc	temp	bevor/before	6	13	-7	no
129	mc-sc	temp	bevor/before	10	17	-7	no
130	mc-sc	temp	bevor/before	18	8	10	no
131	mc-sc	temp	bevor/before	6	4	2	yes
132	mc-sc	temp	bevor/before	4	3	1	no
133	mc-sc	temp	bevor/before	6	4	2	yes
134	mc-sc	temp	bevor/before	9	8	1	no
135	mc-sc	temp	bevor/before	16	5	11	no
136	sc-mc	temp	bevor/before	15	3	12	yes
137	sc-mc	temp	bevor/before	10	5	5	yes
138	sc-mc	temp	bevor/before	17	6	11	no
139	mc-sc	temp	bevor/before	5	9	-4	no
140	mc-sc	temp	nachdem/after	4	8	-4	no
141	sc-mc	temp	nachdem/after	6	12	-6	yes
142	sc-mc	temp	nachdem/after	13	14	-1	yes
143	sc-mc	temp	nachdem/after	8	7	1	yes
144	mc-sc	temp	nachdem/after	10	14	-4	yes
145	mc-sc	temp	nachdem/after	3	8	-5	yes
146	sc-mc	temp	nachdem/after	16	5	11	yes
147	mc-sc	temp	nachdem/after	12	9	3	yes
148	sc-mc	temp	nachdem/after	7	21	-14	no
149	sc-mc	temp	nachdem/after	7	14	-7	yes
150	mc-sc	temp	nachdem/after	17	7	10	no
151	sc-mc	temp	nachdem/after	18	14	4	yes
152	mc-sc	temp	nachdem/after	10	7	3	no
153	mc-sc	temp	nachdem/after	8	20	-12	no
154	mc-sc	temp	nachdem/after	8	21	-13	no
155	sc-mc	temp	nachdem/after	16	15	1	yes
156	sc-mc	temp	nachdem/after	7	16	-9	yes
157	sc-mc	temp	nachdem/after	14	18	-4	yes
158	sc-mc	temp	nachdem/after	6	4	2	yes
159	mc-sc	temp	nachdem/after	13	11	2	yes
160	sc-mc	temp	nachdem/after	3	7	-4	yes
161	mc-sc	temp	nachdem/after	14	8	6	yes
162	mc-sc	temp	nachdem/after	12	15	-3	no
163	mc-sc	temp	nachdem/after	15	10	5	no
164	sc-mc	temp	nachdem/after	9	6	3	yes
165	sc-mc	temp	nachdem/after	8	29	-21	yes
166	sc-mc	temp	nachdem/after	11	6	5	yes
167	mc-sc	temp	nachdem/after	7	14	-7	no
168	sc-mc	temp	nachdem/after	6	8	-2	no
169	mc-sc	temp	nachdem/after	15	13	2	yes
170	sc-mc	temp	nachdem/after	6	5	1	no
171	sc-mc	temp	nachdem/after	6	9	-3	yes
172	mc-sc	temp	nachdem/after	12	11	1	yes
173	sc-mc	temp	nachdem/after	12	21	-9	yes
174	mc-sc	temp	nachdem/after	5	5	0	no
175	sc-mc	temp	nachdem/after	12	10	2	no
176	sc-mc	temp	nachdem/after	10	12	-2	yes
177	sc-mc	temp	nachdem/after	22	17	5	no
178	sc-mc	temp	nachdem/after	17	8	9	no
179	sc-mc	temp	nachdem/after	15	10	5	no
180	sc-mc	temp	nachdem/after	15	7	8	no
181	sc-mc	temp	nachdem/after	3	4	-1	yes
182	sc-mc	temp	nachdem/after	13	14	-1	no
183	sc-mc	temp	nachdem/after	5	4	1	no
184	sc-mc	temp	nachdem/after	31	13	18	no
185	mc-sc	temp	nachdem/after	5	4	1	yes
186	mc-sc	temp	nachdem/after	11	11	0	no
187	sc-mc	temp	nachdem/after	7	9	-2	yes
188	sc-mc	temp	nachdem/after	12	5	7	yes
189	sc-mc	temp	nachdem/after	8	10	-2	yes
190	mc-sc	temp	nachdem/after	4	12	-8	yes
191	sc-mc	temp	nachdem/after	4	6	-2	yes
192	mc-sc	temp	nachdem/after	8	8	0	yes
193	mc-sc	temp	nachdem/after	5	8	-3	no
194	sc-mc	temp	nachdem/after	9	7	2	no
195	sc-mc	temp	nachdem/after	29	4	25	no
196	mc-sc	temp	nachdem/after	6	9	-3	yes
197	sc-mc	temp	nachdem/after	8	5	3	no
198	sc-mc	temp	nachdem/after	10	6	4	yes
199	mc-sc	temp	nachdem/after	5	14	-9	yes
200	mc-sc	temp	nachdem/after	22	7	15	no
201	sc-mc	temp	nachdem/after	13	4	9	yes
202	mc-sc	temp	nachdem/after	10	15	-5	no
203	mc-sc	temp	nachdem/after	9	6	3	no
204	sc-mc	temp	nachdem/after	28	12	16	yes
205	mc-sc	caus	weil/because	9	4	5	yes
206	sc-mc	caus	weil/because	9	7	2	no
207	mc-sc	caus	weil/because	19	7	12	yes
208	mc-sc	caus	weil/because	7	15	-8	yes
209	mc-sc	caus	weil/because	8	7	1	no
210	mc-sc	caus	weil/because	6	13	-7	no
211	mc-sc	caus	weil/because	6	9	-3	yes
212	mc-sc	caus	weil/because	7	11	-4	yes
213	mc-sc	caus	weil/because	5	23	-18	yes
214	mc-sc	caus	weil/because	10	7	3	no
215	mc-sc	caus	weil/because	15	14	1	no
216	mc-sc	caus	weil/because	13	4	9	no
217	mc-sc	caus	weil/because	8	8	0	no
218	mc-sc	caus	weil/because	4	17	-13	no
219	mc-sc	caus	weil/because	5	8	-3	no
220	mc-sc	caus	weil/because	9	10	-1	yes
221	mc-sc	caus	weil/because	8	22	-14	no
222	mc-sc	caus	weil/because	6	9	-3	no
223	mc-sc	caus	weil/because	6	9	-3	yes
224	mc-sc	caus	weil/because	11	20	-9	yes
225	mc-sc	caus	weil/because	10	8	2	no
226	mc-sc	caus	weil/because	14	5	9	no
227	mc-sc	caus	weil/because	8	5	3	yes
228	mc-sc	caus	weil/because	9	10	-1	yes
229	mc-sc	caus	weil/because	3	7	-4	no
230	mc-sc	caus	weil/because	6	15	-9	yes
231	mc-sc	caus	weil/because	9	7	2	yes
232	mc-sc	caus	weil/because	12	2	10	no
233	mc-sc	caus	weil/because	5	5	0	yes
234	mc-sc	caus	weil/because	16	7	9	no
235	mc-sc	caus	weil/because	5	5	0	yes
236	mc-sc	caus	weil/because	16	15	1	yes
237	mc-sc	caus	weil/because	7	6	1	yes
238	mc-sc	caus	weil/because	8	9	-1	yes
239	mc-sc	caus	weil/because	14	19	-5	no
240	mc-sc	caus	weil/because	8	11	-3	no
241	mc-sc	caus	weil/because	4	4	0	yes
242	mc-sc	caus	weil/because	3	3	0	yes
243	mc-sc	caus	weil/because	8	8	0	yes
244	mc-sc	caus	weil/because	13	16	-3	no
245	mc-sc	caus	weil/because	15	6	9	yes
246	mc-sc	caus	weil/because	5	13	-8	no
247	mc-sc	caus	weil/because	7	7	0	yes
248	mc-sc	caus	weil/because	9	7	2	yes
249	mc-sc	caus	weil/because	9	20	-11	yes
250	mc-sc	caus	weil/because	17	18	-1	yes
251	mc-sc	caus	weil/because	6	8	-2	yes
252	mc-sc	caus	weil/because	9	8	1	yes
253	mc-sc	caus	weil/because	12	4	8	yes
254	mc-sc	caus	weil/because	4	11	-7	no
255	mc-sc	caus	weil/because	7	13	-6	no
256	sc-mc	caus	weil/because	6	10	-4	no
257	mc-sc	caus	weil/because	15	7	8	no
258	mc-sc	caus	weil/because	9	6	3	yes
259	mc-sc	caus	weil/because	14	12	2	no
260	mc-sc	caus	weil/because	10	7	3	no
261	mc-sc	caus	weil/because	17	23	-6	yes
262	mc-sc	caus	weil/because	6	6	0	no
263	mc-sc	caus	weil/because	7	10	-3	no
264	mc-sc	caus	weil/because	11	10	1	yes
265	mc-sc	caus	weil/because	8	5	3	no
266	mc-sc	caus	weil/because	5	6	-1	yes
267	mc-sc	caus	weil/because	5	7	-2	yes
268	mc-sc	caus	weil/because	24	11	13	no
269	mc-sc	caus	weil/because	6	10	-4	yes
270	mc-sc	caus	weil/because	7	6	1	yes
271	mc-sc	caus	weil/because	11	9	2	yes
272	mc-sc	caus	weil/because	26	13	13	yes
273	mc-sc	caus	weil/because	11	10	1	no
274	mc-sc	caus	weil/because	17	17	0	no
275	mc-sc	caus	weil/because	19	10	9	yes
276	sc-mc	caus	weil/because	6	8	-2	no
277	mc-sc	caus	weil/because	9	8	1	no
278	mc-sc	caus	weil/because	16	13	3	no
279	mc-sc	caus	weil/because	17	12	5	no
280	sc-mc	caus	weil/because	11	9	2	yes
281	sc-mc	caus	weil/because	7	5	2	yes
282	mc-sc	caus	weil/because	5	10	-5	no
283	mc-sc	caus	weil/because	5	6	-1	yes
284	mc-sc	caus	weil/because	6	18	-12	yes
285	mc-sc	caus	weil/because	9	13	-4	yes
286	mc-sc	caus	weil/because	11	18	-7	yes
287	mc-sc	caus	weil/because	5	10	-5	yes
288	mc-sc	caus	weil/because	6	13	-7	yes
289	mc-sc	caus	weil/because	7	5	2	yes
290	mc-sc	caus	weil/because	7	8	-1	no
291	mc-sc	caus	weil/because	4	8	-4	yes
292	mc-sc	caus	weil/because	8	5	3	no
293	mc-sc	caus	weil/because	13	15	-2	yes
294	mc-sc	caus	weil/because	10	9	1	yes
295	mc-sc	caus	weil/because	14	13	1	yes
296	mc-sc	caus	weil/because	6	9	-3	yes
297	mc-sc	caus	weil/because	3	8	-5	no
298	mc-sc	caus	weil/because	7	10	-3	no
299	mc-sc	caus	weil/because	6	5	1	no
300	mc-sc	caus	weil/because	9	16	-7	no
301	mc-sc	caus	weil/because	7	10	-3	yes
302	mc-sc	caus	weil/because	18	9	9	no
303	mc-sc	caus	weil/because	10	10	0	no
304	mc-sc	caus	weil/because	16	6	10	yes
305	mc-sc	caus	weil/because	31	16	15	yes
306	sc-mc	caus	weil/because	4	19	-15	yes
307	mc-sc	caus	weil/because	5	6	-1	no
308	mc-sc	caus	weil/because	9	4	5	yes
309	mc-sc	caus	weil/because	8	5	3	no
310	mc-sc	caus	weil/because	4	21	-17	no
311	mc-sc	caus	weil/because	9	29	-20	no
312	mc-sc	caus	weil/because	5	21	-16	no
313	mc-sc	caus	weil/because	7	8	-1	yes
314	sc-mc	caus	weil/because	6	5	1	yes
315	mc-sc	caus	weil/because	6	7	-1	yes
316	mc-sc	caus	weil/because	4	9	-5	no
317	mc-sc	caus	weil/because	23	5	18	no
318	mc-sc	caus	weil/because	10	13	-3	yes
319	mc-sc	caus	weil/because	6	5	1	yes
320	mc-sc	caus	weil/because	10	7	3	no
321	mc-sc	caus	weil/because	11	17	-6	no
322	mc-sc	caus	weil/because	9	16	-7	no
323	mc-sc	caus	weil/because	27	17	10	yes
324	mc-sc	caus	weil/because	7	12	-5	yes
325	mc-sc	caus	weil/because	14	4	10	no
326	mc-sc	caus	weil/because	7	9	-2	no
327	mc-sc	caus	weil/because	3	11	-8	no
328	mc-sc	caus	weil/because	4	12	-8	yes
329	sc-mc	caus	weil/because	12	9	3	yes
330	mc-sc	caus	weil/because	15	15	0	yes
331	mc-sc	caus	weil/because	7	7	0	yes
332	mc-sc	caus	weil/because	6	9	-3	yes
333	mc-sc	caus	weil/because	10	5	5	no
334	mc-sc	caus	weil/because	6	5	1	no
335	sc-mc	caus	weil/because	9	6	3	yes
336	mc-sc	caus	weil/because	3	3	0	yes
337	mc-sc	caus	weil/because	9	5	4	yes
338	mc-sc	caus	weil/because	3	5	-2	no
339	mc-sc	caus	weil/because	7	10	-3	no
340	mc-sc	caus	weil/because	14	8	6	no
341	mc-sc	caus	weil/because	10	6	4	no
342	mc-sc	caus	weil/because	3	7	-4	yes
343	sc-mc	caus	weil/because	6	5	1	yes
344	sc-mc	caus	weil/because	11	11	0	yes
345	mc-sc	caus	weil/because	20	19	1	no
346	mc-sc	caus	weil/because	15	5	10	yes
347	mc-sc	caus	weil/because	4	11	-7	yes
348	mc-sc	caus	weil/because	15	14	1	yes
349	mc-sc	caus	weil/because	3	26	-23	yes
350	mc-sc	caus	weil/because	18	5	13	no
351	sc-mc	caus	weil/because	5	4	1	no
352	mc-sc	caus	weil/because	15	5	10	no
353	mc-sc	caus	weil/because	5	10	-5	no
354	mc-sc	caus	weil/because	12	17	-5	yes
355	mc-sc	caus	weil/because	13	9	4	yes
356	mc-sc	caus	weil/because	7	8	-1	no
357	mc-sc	caus	weil/because	6	5	1	yes
358	mc-sc	caus	weil/because	7	9	-2	yes
359	mc-sc	caus	weil/because	9	10	-1	no
360	mc-sc	caus	weil/because	4	36	-32	yes
361	mc-sc	caus	weil/because	9	9	0	no
362	mc-sc	caus	weil/because	10	16	-6	no
363	mc-sc	caus	weil/because	5	8	-3	no
364	mc-sc	caus	weil/because	5	20	-15	no
365	mc-sc	caus	weil/because	6	14	-8	no
366	mc-sc	caus	weil/because	6	6	0	yes
367	mc-sc	caus	weil/because	8	17	-9	no
368	mc-sc	caus	weil/because	5	12	-7	no
369	mc-sc	caus	weil/because	9	5	4	no
370	mc-sc	caus	weil/because	5	7	-2	yes
371	mc-sc	caus	weil/because	5	6	-1	no
372	mc-sc	caus	weil/because	11	9	2	yes
373	mc-sc	caus	weil/because	12	13	-1	no
374	mc-sc	caus	weil/because	10	15	-5	no
375	mc-sc	caus	weil/because	8	10	-2	yes
376	sc-mc	caus	weil/because	8	20	-12	no
377	sc-mc	caus	weil/because	11	8	3	yes
378	mc-sc	caus	weil/because	15	17	-2	no
379	mc-sc	caus	weil/because	7	4	3	yes
380	mc-sc	caus	weil/because	4	3	1	yes
381	mc-sc	caus	weil/because	7	9	-2	no
382	mc-sc	caus	weil/because	8	4	4	no
383	mc-sc	caus	weil/because	8	8	0	yes
384	mc-sc	caus	weil/because	5	6	-1	no
385	mc-sc	caus	weil/because	8	14	-6	yes
386	mc-sc	caus	weil/because	5	2	3	no
387	mc-sc	caus	weil/because	7	5	2	yes
388	mc-sc	caus	weil/because	7	14	-7	yes
389	mc-sc	caus	weil/because	19	9	10	yes
390	mc-sc	caus	weil/because	9	18	-9	yes
391	mc-sc	caus	weil/because	17	18	-1	yes
392	mc-sc	caus	weil/because	8	9	-1	yes
393	mc-sc	caus	weil/because	24	6	18	yes
394	mc-sc	caus	weil/because	9	7	2	yes
395	mc-sc	caus	weil/because	7	6	1	no
396	mc-sc	caus	weil/because	7	6	1	yes
397	mc-sc	caus	weil/because	3	11	-8	yes
398	mc-sc	caus	weil/because	9	11	-2	no
399	mc-sc	caus	weil/because	13	23	-10	no
400	mc-sc	caus	weil/because	10	7	3	yes
401	mc-sc	caus	weil/because	8	5	3	yes
402	mc-sc	caus	weil/because	8	11	-3	no
403	sc-mc	caus	weil/because	9	6	3	yes
