CASE	CLASS	SEX	AGE	SURVIVED
84	1st	male	adult	no
85	1st	male	adult	no
86	1st	male	adult	no
87	1st	male	adult	no
88	1st	male	adult	no
89	1st	male	adult	no
90	1st	male	adult	no
91	1st	male	adult	no
92	1st	male	adult	no
93	1st	male	adult	no
94	1st	male	adult	no
95	1st	male	adult	no
96	1st	male	adult	no
97	1st	male	adult	no
98	1st	male	adult	no
99	1st	male	adult	no
100	1st	male	adult	no
101	1st	male	adult	no
102	1st	male	adult	no
103	1st	male	adult	no
104	1st	male	adult	no
105	1st	male	adult	no
106	1st	male	adult	no
107	1st	male	adult	no
108	1st	male	adult	no
109	1st	male	adult	no
110	1st	male	adult	no
111	1st	male	adult	no
112	1st	male	adult	no
113	1st	male	adult	no
114	1st	male	adult	no
115	1st	male	adult	no
116	1st	male	adult	no
117	1st	male	adult	no
118	1st	male	adult	no
119	1st	male	adult	no
120	1st	male	adult	no
121	1st	male	adult	no
122	1st	male	adult	no
123	1st	male	adult	no
124	1st	male	adult	no
125	1st	male	adult	no
126	1st	male	adult	no
127	1st	male	adult	no
128	1st	male	adult	no
129	1st	male	adult	no
130	1st	male	adult	no
131	1st	male	adult	no
132	1st	male	adult	no
133	1st	male	adult	no
134	1st	male	adult	no
135	1st	male	adult	no
136	1st	male	adult	no
137	1st	male	adult	no
138	1st	male	adult	no
139	1st	male	adult	no
140	1st	male	adult	no
141	1st	male	adult	no
142	1st	male	adult	no
143	1st	male	adult	no
144	1st	male	adult	no
145	1st	male	adult	no
146	1st	male	adult	no
147	1st	male	adult	no
148	1st	male	adult	no
149	1st	male	adult	no
150	1st	male	adult	no
151	1st	male	adult	no
152	1st	male	adult	no
153	1st	male	adult	no
154	1st	male	adult	no
155	1st	male	adult	no
156	1st	male	adult	no
157	1st	male	adult	no
158	1st	male	adult	no
159	1st	male	adult	no
160	1st	male	adult	no
161	1st	male	adult	no
162	1st	male	adult	no
163	1st	male	adult	no
164	1st	male	adult	no
165	1st	male	adult	no
166	1st	male	adult	no
167	1st	male	adult	no
168	1st	male	adult	no
169	1st	male	adult	no
170	1st	male	adult	no
171	2nd	male	adult	no
172	2nd	male	adult	no
173	2nd	male	adult	no
174	2nd	male	adult	no
175	2nd	male	adult	no
176	2nd	male	adult	no
177	2nd	male	adult	no
178	2nd	male	adult	no
179	2nd	male	adult	no
180	2nd	male	adult	no
181	2nd	male	adult	no
182	2nd	male	adult	no
183	2nd	male	adult	no
184	2nd	male	adult	no
185	2nd	male	adult	no
186	2nd	male	adult	no
187	2nd	male	adult	no
188	2nd	male	adult	no
189	2nd	male	adult	no
190	2nd	male	adult	no
191	2nd	male	adult	no
192	2nd	male	adult	no
193	2nd	male	adult	no
194	2nd	male	adult	no
195	2nd	male	adult	no
196	2nd	male	adult	no
197	2nd	male	adult	no
198	2nd	male	adult	no
199	2nd	male	adult	no
200	2nd	male	adult	no
201	2nd	male	adult	no
202	2nd	male	adult	no
203	2nd	male	adult	no
204	2nd	male	adult	no
205	2nd	male	adult	no
206	2nd	male	adult	no
207	2nd	male	adult	no
208	2nd	male	adult	no
209	2nd	male	adult	no
210	2nd	male	adult	no
211	2nd	male	adult	no
212	2nd	male	adult	no
213	2nd	male	adult	no
214	2nd	male	adult	no
215	2nd	male	adult	no
216	2nd	male	adult	no
217	2nd	male	adult	no
218	2nd	male	adult	no
219	2nd	male	adult	no
220	2nd	male	adult	no
221	2nd	male	adult	no
222	2nd	male	adult	no
223	2nd	male	adult	no
224	2nd	male	adult	no
225	2nd	male	adult	no
226	2nd	male	adult	no
227	2nd	male	adult	no
228	2nd	male	adult	no
229	2nd	male	adult	no
230	2nd	male	adult	no
231	2nd	male	adult	no
232	2nd	male	adult	no
233	2nd	male	adult	no
234	2nd	male	adult	no
235	2nd	male	adult	no
236	2nd	male	adult	no
237	2nd	male	adult	no
238	2nd	male	adult	no
239	2nd	male	adult	no
240	2nd	male	adult	no
241	2nd	male	adult	no
242	2nd	male	adult	no
243	2nd	male	adult	no
244	2nd	male	adult	no
245	2nd	male	adult	no
246	2nd	male	adult	no
247	2nd	male	adult	no
248	2nd	male	adult	no
249	2nd	male	adult	no
250	2nd	male	adult	no
251	2nd	male	adult	no
252	2nd	male	adult	no
253	2nd	male	adult	no
254	2nd	male	adult	no
255	2nd	male	adult	no
256	2nd	male	adult	no
257	2nd	male	adult	no
258	2nd	male	adult	no
259	2nd	male	adult	no
260	2nd	male	adult	no
261	2nd	male	adult	no
262	2nd	male	adult	no
263	2nd	male	adult	no
264	2nd	male	adult	no
265	2nd	male	adult	no
266	2nd	male	adult	no
267	2nd	male	adult	no
268	2nd	male	adult	no
269	2nd	male	adult	no
270	2nd	male	adult	no
271	2nd	male	adult	no
272	2nd	male	adult	no
273	2nd	male	adult	no
274	2nd	male	adult	no
275	2nd	male	adult	no
276	2nd	male	adult	no
277	2nd	male	adult	no
278	2nd	male	adult	no
279	2nd	male	adult	no
280	2nd	male	adult	no
281	2nd	male	adult	no
282	2nd	male	adult	no
283	2nd	male	adult	no
284	2nd	male	adult	no
285	2nd	male	adult	no
286	2nd	male	adult	no
287	2nd	male	adult	no
288	2nd	male	adult	no
289	2nd	male	adult	no
290	2nd	male	adult	no
291	2nd	male	adult	no
292	2nd	male	adult	no
293	2nd	male	adult	no
294	2nd	male	adult	no
295	2nd	male	adult	no
296	2nd	male	adult	no
297	2nd	male	adult	no
298	2nd	male	adult	no
299	2nd	male	adult	no
300	2nd	male	adult	no
301	2nd	male	adult	no
302	2nd	male	adult	no
303	2nd	male	adult	no
304	2nd	male	adult	no
305	2nd	male	adult	no
306	2nd	male	adult	no
307	2nd	male	adult	no
308	2nd	male	adult	no
309	2nd	male	adult	no
310	2nd	male	adult	no
311	2nd	male	adult	no
312	2nd	male	adult	no
313	2nd	male	adult	no
314	2nd	male	adult	no
315	2nd	male	adult	no
316	2nd	male	adult	no
317	2nd	male	adult	no
318	2nd	male	adult	no
319	2nd	male	adult	no
320	2nd	male	adult	no
321	2nd	male	adult	no
322	2nd	male	adult	no
323	2nd	male	adult	no
324	2nd	male	adult	no
325	3rd	male	adult	no
326	3rd	male	adult	no
327	3rd	male	adult	no
328	3rd	male	adult	no
329	3rd	male	adult	no
330	3rd	male	adult	no
331	3rd	male	adult	no
332	3rd	male	adult	no
333	3rd	male	adult	no
334	3rd	male	adult	no
335	3rd	male	adult	no
336	3rd	male	adult	no
337	3rd	male	adult	no
338	3rd	male	adult	no
339	3rd	male	adult	no
340	3rd	male	adult	no
341	3rd	male	adult	no
342	3rd	male	adult	no
343	3rd	male	adult	no
344	3rd	male	adult	no
345	3rd	male	adult	no
346	3rd	male	adult	no
347	3rd	male	adult	no
348	3rd	male	adult	no
349	3rd	male	adult	no
350	3rd	male	adult	no
351	3rd	male	adult	no
352	3rd	male	adult	no
353	3rd	male	adult	no
354	3rd	male	adult	no
355	3rd	male	adult	no
356	3rd	male	adult	no
357	3rd	male	adult	no
358	3rd	male	adult	no
359	3rd	male	adult	no
360	3rd	male	adult	no
361	3rd	male	adult	no
362	3rd	male	adult	no
363	3rd	male	adult	no
364	3rd	male	adult	no
365	3rd	male	adult	no
366	3rd	male	adult	no
367	3rd	male	adult	no
368	3rd	male	adult	no
369	3rd	male	adult	no
370	3rd	male	adult	no
371	3rd	male	adult	no
372	3rd	male	adult	no
373	3rd	male	adult	no
374	3rd	male	adult	no
375	3rd	male	adult	no
376	3rd	male	adult	no
377	3rd	male	adult	no
378	3rd	male	adult	no
379	3rd	male	adult	no
380	3rd	male	adult	no
381	3rd	male	adult	no
382	3rd	male	adult	no
383	3rd	male	adult	no
384	3rd	male	adult	no
385	3rd	male	adult	no
386	3rd	male	adult	no
387	3rd	male	adult	no
388	3rd	male	adult	no
389	3rd	male	adult	no
390	3rd	male	adult	no
391	3rd	male	adult	no
392	3rd	male	adult	no
393	3rd	male	adult	no
394	3rd	male	adult	no
395	3rd	male	adult	no
396	3rd	male	adult	no
397	3rd	male	adult	no
398	3rd	male	adult	no
399	3rd	male	adult	no
400	3rd	male	adult	no
401	3rd	male	adult	no
402	3rd	male	adult	no
403	3rd	male	adult	no
404	3rd	male	adult	no
405	3rd	male	adult	no
406	3rd	male	adult	no
407	3rd	male	adult	no
408	3rd	male	adult	no
409	3rd	male	adult	no
410	3rd	male	adult	no
411	3rd	male	adult	no
412	3rd	male	adult	no
413	3rd	male	adult	no
414	3rd	male	adult	no
415	3rd	male	adult	no
416	3rd	male	adult	no
417	3rd	male	adult	no
418	3rd	male	adult	no
419	3rd	male	adult	no
420	3rd	male	adult	no
421	3rd	male	adult	no
422	3rd	male	adult	no
423	3rd	male	adult	no
424	3rd	male	adult	no
425	3rd	male	adult	no
426	3rd	male	adult	no
427	3rd	male	adult	no
428	3rd	male	adult	no
429	3rd	male	adult	no
430	3rd	male	adult	no
431	3rd	male	adult	no
432	3rd	male	adult	no
433	3rd	male	adult	no
434	3rd	male	adult	no
435	3rd	male	adult	no
436	3rd	male	adult	no
437	3rd	male	adult	no
438	3rd	male	adult	no
439	3rd	male	adult	no
440	3rd	male	adult	no
441	3rd	male	adult	no
442	3rd	male	adult	no
443	3rd	male	adult	no
444	3rd	male	adult	no
445	3rd	male	adult	no
446	3rd	male	adult	no
447	3rd	male	adult	no
448	3rd	male	adult	no
449	3rd	male	adult	no
450	3rd	male	adult	no
451	3rd	male	adult	no
452	3rd	male	adult	no
453	3rd	male	adult	no
454	3rd	male	adult	no
455	3rd	male	adult	no
456	3rd	male	adult	no
457	3rd	male	adult	no
458	3rd	male	adult	no
459	3rd	male	adult	no
460	3rd	male	adult	no
461	3rd	male	adult	no
462	3rd	male	adult	no
463	3rd	male	adult	no
464	3rd	male	adult	no
465	3rd	male	adult	no
466	3rd	male	adult	no
467	3rd	male	adult	no
468	3rd	male	adult	no
469	3rd	male	adult	no
470	3rd	male	adult	no
471	3rd	male	adult	no
472	3rd	male	adult	no
473	3rd	male	adult	no
474	3rd	male	adult	no
475	3rd	male	adult	no
476	3rd	male	adult	no
477	3rd	male	adult	no
478	3rd	male	adult	no
479	3rd	male	adult	no
480	3rd	male	adult	no
481	3rd	male	adult	no
482	3rd	male	adult	no
483	3rd	male	adult	no
484	3rd	male	adult	no
485	3rd	male	adult	no
486	3rd	male	adult	no
487	3rd	male	adult	no
488	3rd	male	adult	no
489	3rd	male	adult	no
490	3rd	male	adult	no
491	3rd	male	adult	no
492	3rd	male	adult	no
493	3rd	male	adult	no
494	3rd	male	adult	no
495	3rd	male	adult	no
496	3rd	male	adult	no
497	3rd	male	adult	no
498	3rd	male	adult	no
499	3rd	male	adult	no
500	3rd	male	adult	no
501	3rd	male	adult	no
502	3rd	male	adult	no
503	3rd	male	adult	no
504	3rd	male	adult	no
505	3rd	male	adult	no
506	3rd	male	adult	no
507	3rd	male	adult	no
508	3rd	male	adult	no
509	3rd	male	adult	no
510	3rd	male	adult	no
511	3rd	male	adult	no
512	3rd	male	adult	no
513	3rd	male	adult	no
514	3rd	male	adult	no
515	3rd	male	adult	no
516	3rd	male	adult	no
517	3rd	male	adult	no
518	3rd	male	adult	no
519	3rd	male	adult	no
520	3rd	male	adult	no
521	3rd	male	adult	no
522	3rd	male	adult	no
523	3rd	male	adult	no
524	3rd	male	adult	no
525	3rd	male	adult	no
526	3rd	male	adult	no
527	3rd	male	adult	no
528	3rd	male	adult	no
529	3rd	male	adult	no
530	3rd	male	adult	no
531	3rd	male	adult	no
532	3rd	male	adult	no
533	3rd	male	adult	no
534	3rd	male	adult	no
535	3rd	male	adult	no
536	3rd	male	adult	no
537	3rd	male	adult	no
538	3rd	male	adult	no
539	3rd	male	adult	no
540	3rd	male	adult	no
541	3rd	male	adult	no
542	3rd	male	adult	no
543	3rd	male	adult	no
544	3rd	male	adult	no
545	3rd	male	adult	no
546	3rd	male	adult	no
547	3rd	male	adult	no
548	3rd	male	adult	no
549	3rd	male	adult	no
550	3rd	male	adult	no
551	3rd	male	adult	no
552	3rd	male	adult	no
553	3rd	male	adult	no
554	3rd	male	adult	no
555	3rd	male	adult	no
556	3rd	male	adult	no
557	3rd	male	adult	no
558	3rd	male	adult	no
559	3rd	male	adult	no
560	3rd	male	adult	no
561	3rd	male	adult	no
562	3rd	male	adult	no
563	3rd	male	adult	no
564	3rd	male	adult	no
565	3rd	male	adult	no
566	3rd	male	adult	no
567	3rd	male	adult	no
568	3rd	male	adult	no
569	3rd	male	adult	no
570	3rd	male	adult	no
571	3rd	male	adult	no
572	3rd	male	adult	no
573	3rd	male	adult	no
574	3rd	male	adult	no
575	3rd	male	adult	no
576	3rd	male	adult	no
577	3rd	male	adult	no
578	3rd	male	adult	no
579	3rd	male	adult	no
580	3rd	male	adult	no
581	3rd	male	adult	no
582	3rd	male	adult	no
583	3rd	male	adult	no
584	3rd	male	adult	no
585	3rd	male	adult	no
586	3rd	male	adult	no
587	3rd	male	adult	no
588	3rd	male	adult	no
589	3rd	male	adult	no
590	3rd	male	adult	no
591	3rd	male	adult	no
592	3rd	male	adult	no
593	3rd	male	adult	no
594	3rd	male	adult	no
595	3rd	male	adult	no
596	3rd	male	adult	no
597	3rd	male	adult	no
598	3rd	male	adult	no
599	3rd	male	adult	no
600	3rd	male	adult	no
601	3rd	male	adult	no
602	3rd	male	adult	no
603	3rd	male	adult	no
604	3rd	male	adult	no
605	3rd	male	adult	no
606	3rd	male	adult	no
607	3rd	male	adult	no
608	3rd	male	adult	no
609	3rd	male	adult	no
610	3rd	male	adult	no
611	3rd	male	adult	no
612	3rd	male	adult	no
613	3rd	male	adult	no
614	3rd	male	adult	no
615	3rd	male	adult	no
616	3rd	male	adult	no
617	3rd	male	adult	no
618	3rd	male	adult	no
619	3rd	male	adult	no
620	3rd	male	adult	no
621	3rd	male	adult	no
622	3rd	male	adult	no
623	3rd	male	adult	no
624	3rd	male	adult	no
625	3rd	male	adult	no
626	3rd	male	adult	no
627	3rd	male	adult	no
628	3rd	male	adult	no
629	3rd	male	adult	no
630	3rd	male	adult	no
631	3rd	male	adult	no
632	3rd	male	adult	no
633	3rd	male	adult	no
634	3rd	male	adult	no
635	3rd	male	adult	no
636	3rd	male	adult	no
637	3rd	male	adult	no
638	3rd	male	adult	no
639	3rd	male	adult	no
640	3rd	male	adult	no
641	3rd	male	adult	no
642	3rd	male	adult	no
643	3rd	male	adult	no
644	3rd	male	adult	no
645	3rd	male	adult	no
646	3rd	male	adult	no
647	3rd	male	adult	no
648	3rd	male	adult	no
649	3rd	male	adult	no
650	3rd	male	adult	no
651	3rd	male	adult	no
652	3rd	male	adult	no
653	3rd	male	adult	no
654	3rd	male	adult	no
655	3rd	male	adult	no
656	3rd	male	adult	no
657	3rd	male	adult	no
658	3rd	male	adult	no
659	3rd	male	adult	no
660	3rd	male	adult	no
661	3rd	male	adult	no
662	3rd	male	adult	no
663	3rd	male	adult	no
664	3rd	male	adult	no
665	3rd	male	adult	no
666	3rd	male	adult	no
667	3rd	male	adult	no
668	3rd	male	adult	no
669	3rd	male	adult	no
670	3rd	male	adult	no
671	3rd	male	adult	no
672	3rd	male	adult	no
673	3rd	male	adult	no
674	3rd	male	adult	no
675	3rd	male	adult	no
676	3rd	male	adult	no
677	3rd	male	adult	no
678	3rd	male	adult	no
679	3rd	male	adult	no
680	3rd	male	adult	no
681	3rd	male	adult	no
682	3rd	male	adult	no
683	3rd	male	adult	no
684	3rd	male	adult	no
685	3rd	male	adult	no
686	3rd	male	adult	no
687	3rd	male	adult	no
688	3rd	male	adult	no
689	3rd	male	adult	no
690	3rd	male	adult	no
691	3rd	male	adult	no
692	3rd	male	adult	no
693	3rd	male	adult	no
694	3rd	male	adult	no
695	3rd	male	adult	no
696	3rd	male	adult	no
697	3rd	male	adult	no
698	3rd	male	adult	no
699	3rd	male	adult	no
700	3rd	male	adult	no
701	3rd	male	adult	no
702	3rd	male	adult	no
703	3rd	male	adult	no
704	3rd	male	adult	no
705	3rd	male	adult	no
706	3rd	male	adult	no
707	3rd	male	adult	no
708	3rd	male	adult	no
709	3rd	male	adult	no
710	3rd	male	adult	no
711	3rd	male	adult	no
712	crew	male	adult	no
713	crew	male	adult	no
714	crew	male	adult	no
715	crew	male	adult	no
716	crew	male	adult	no
717	crew	male	adult	no
718	crew	male	adult	no
719	crew	male	adult	no
720	crew	male	adult	no
721	crew	male	adult	no
722	crew	male	adult	no
723	crew	male	adult	no
724	crew	male	adult	no
725	crew	male	adult	no
726	crew	male	adult	no
727	crew	male	adult	no
728	crew	male	adult	no
729	crew	male	adult	no
730	crew	male	adult	no
731	crew	male	adult	no
732	crew	male	adult	no
733	crew	male	adult	no
734	crew	male	adult	no
735	crew	male	adult	no
736	crew	male	adult	no
737	crew	male	adult	no
738	crew	male	adult	no
739	crew	male	adult	no
740	crew	male	adult	no
741	crew	male	adult	no
742	crew	male	adult	no
743	crew	male	adult	no
744	crew	male	adult	no
745	crew	male	adult	no
746	crew	male	adult	no
747	crew	male	adult	no
748	crew	male	adult	no
749	crew	male	adult	no
750	crew	male	adult	no
751	crew	male	adult	no
752	crew	male	adult	no
753	crew	male	adult	no
754	crew	male	adult	no
755	crew	male	adult	no
756	crew	male	adult	no
757	crew	male	adult	no
758	crew	male	adult	no
759	crew	male	adult	no
760	crew	male	adult	no
761	crew	male	adult	no
762	crew	male	adult	no
763	crew	male	adult	no
764	crew	male	adult	no
765	crew	male	adult	no
766	crew	male	adult	no
767	crew	male	adult	no
768	crew	male	adult	no
769	crew	male	adult	no
770	crew	male	adult	no
771	crew	male	adult	no
772	crew	male	adult	no
773	crew	male	adult	no
774	crew	male	adult	no
775	crew	male	adult	no
776	crew	male	adult	no
777	crew	male	adult	no
778	crew	male	adult	no
779	crew	male	adult	no
780	crew	male	adult	no
781	crew	male	adult	no
782	crew	male	adult	no
783	crew	male	adult	no
784	crew	male	adult	no
785	crew	male	adult	no
786	crew	male	adult	no
787	crew	male	adult	no
788	crew	male	adult	no
789	crew	male	adult	no
790	crew	male	adult	no
791	crew	male	adult	no
792	crew	male	adult	no
793	crew	male	adult	no
794	crew	male	adult	no
795	crew	male	adult	no
796	crew	male	adult	no
797	crew	male	adult	no
798	crew	male	adult	no
799	crew	male	adult	no
800	crew	male	adult	no
801	crew	male	adult	no
802	crew	male	adult	no
803	crew	male	adult	no
804	crew	male	adult	no
805	crew	male	adult	no
806	crew	male	adult	no
807	crew	male	adult	no
808	crew	male	adult	no
809	crew	male	adult	no
810	crew	male	adult	no
811	crew	male	adult	no
812	crew	male	adult	no
813	crew	male	adult	no
814	crew	male	adult	no
815	crew	male	adult	no
816	crew	male	adult	no
817	crew	male	adult	no
818	crew	male	adult	no
819	crew	male	adult	no
820	crew	male	adult	no
821	crew	male	adult	no
822	crew	male	adult	no
823	crew	male	adult	no
824	crew	male	adult	no
825	crew	male	adult	no
826	crew	male	adult	no
827	crew	male	adult	no
828	crew	male	adult	no
829	crew	male	adult	no
830	crew	male	adult	no
831	crew	male	adult	no
832	crew	male	adult	no
833	crew	male	adult	no
834	crew	male	adult	no
835	crew	male	adult	no
836	crew	male	adult	no
837	crew	male	adult	no
838	crew	male	adult	no
839	crew	male	adult	no
840	crew	male	adult	no
841	crew	male	adult	no
842	crew	male	adult	no
843	crew	male	adult	no
844	crew	male	adult	no
845	crew	male	adult	no
846	crew	male	adult	no
847	crew	male	adult	no
848	crew	male	adult	no
849	crew	male	adult	no
850	crew	male	adult	no
851	crew	male	adult	no
852	crew	male	adult	no
853	crew	male	adult	no
854	crew	male	adult	no
855	crew	male	adult	no
856	crew	male	adult	no
857	crew	male	adult	no
858	crew	male	adult	no
859	crew	male	adult	no
860	crew	male	adult	no
861	crew	male	adult	no
862	crew	male	adult	no
863	crew	male	adult	no
864	crew	male	adult	no
865	crew	male	adult	no
866	crew	male	adult	no
867	crew	male	adult	no
868	crew	male	adult	no
869	crew	male	adult	no
870	crew	male	adult	no
871	crew	male	adult	no
872	crew	male	adult	no
873	crew	male	adult	no
874	crew	male	adult	no
875	crew	male	adult	no
876	crew	male	adult	no
877	crew	male	adult	no
878	crew	male	adult	no
879	crew	male	adult	no
880	crew	male	adult	no
881	crew	male	adult	no
882	crew	male	adult	no
883	crew	male	adult	no
884	crew	male	adult	no
885	crew	male	adult	no
886	crew	male	adult	no
887	crew	male	adult	no
888	crew	male	adult	no
889	crew	male	adult	no
890	crew	male	adult	no
891	crew	male	adult	no
892	crew	male	adult	no
893	crew	male	adult	no
894	crew	male	adult	no
895	crew	male	adult	no
896	crew	male	adult	no
897	crew	male	adult	no
898	crew	male	adult	no
899	crew	male	adult	no
900	crew	male	adult	no
901	crew	male	adult	no
902	crew	male	adult	no
903	crew	male	adult	no
904	crew	male	adult	no
905	crew	male	adult	no
906	crew	male	adult	no
907	crew	male	adult	no
908	crew	male	adult	no
909	crew	male	adult	no
910	crew	male	adult	no
911	crew	male	adult	no
912	crew	male	adult	no
913	crew	male	adult	no
914	crew	male	adult	no
915	crew	male	adult	no
916	crew	male	adult	no
917	crew	male	adult	no
918	crew	male	adult	no
919	crew	male	adult	no
920	crew	male	adult	no
921	crew	male	adult	no
922	crew	male	adult	no
923	crew	male	adult	no
924	crew	male	adult	no
925	crew	male	adult	no
926	crew	male	adult	no
927	crew	male	adult	no
928	crew	male	adult	no
929	crew	male	adult	no
930	crew	male	adult	no
931	crew	male	adult	no
932	crew	male	adult	no
933	crew	male	adult	no
934	crew	male	adult	no
935	crew	male	adult	no
936	crew	male	adult	no
937	crew	male	adult	no
938	crew	male	adult	no
939	crew	male	adult	no
940	crew	male	adult	no
941	crew	male	adult	no
942	crew	male	adult	no
943	crew	male	adult	no
944	crew	male	adult	no
945	crew	male	adult	no
946	crew	male	adult	no
947	crew	male	adult	no
948	crew	male	adult	no
949	crew	male	adult	no
950	crew	male	adult	no
951	crew	male	adult	no
952	crew	male	adult	no
953	crew	male	adult	no
954	crew	male	adult	no
955	crew	male	adult	no
956	crew	male	adult	no
957	crew	male	adult	no
958	crew	male	adult	no
959	crew	male	adult	no
960	crew	male	adult	no
961	crew	male	adult	no
962	crew	male	adult	no
963	crew	male	adult	no
964	crew	male	adult	no
965	crew	male	adult	no
966	crew	male	adult	no
967	crew	male	adult	no
968	crew	male	adult	no
969	crew	male	adult	no
970	crew	male	adult	no
971	crew	male	adult	no
972	crew	male	adult	no
973	crew	male	adult	no
974	crew	male	adult	no
975	crew	male	adult	no
976	crew	male	adult	no
977	crew	male	adult	no
978	crew	male	adult	no
979	crew	male	adult	no
980	crew	male	adult	no
981	crew	male	adult	no
982	crew	male	adult	no
983	crew	male	adult	no
984	crew	male	adult	no
985	crew	male	adult	no
986	crew	male	adult	no
987	crew	male	adult	no
988	crew	male	adult	no
989	crew	male	adult	no
990	crew	male	adult	no
991	crew	male	adult	no
992	crew	male	adult	no
993	crew	male	adult	no
994	crew	male	adult	no
995	crew	male	adult	no
996	crew	male	adult	no
997	crew	male	adult	no
998	crew	male	adult	no
999	crew	male	adult	no
1000	crew	male	adult	no
1001	crew	male	adult	no
1002	crew	male	adult	no
1003	crew	male	adult	no
1004	crew	male	adult	no
1005	crew	male	adult	no
1006	crew	male	adult	no
1007	crew	male	adult	no
1008	crew	male	adult	no
1009	crew	male	adult	no
1010	crew	male	adult	no
1011	crew	male	adult	no
1012	crew	male	adult	no
1013	crew	male	adult	no
1014	crew	male	adult	no
1015	crew	male	adult	no
1016	crew	male	adult	no
1017	crew	male	adult	no
1018	crew	male	adult	no
1019	crew	male	adult	no
1020	crew	male	adult	no
1021	crew	male	adult	no
1022	crew	male	adult	no
1023	crew	male	adult	no
1024	crew	male	adult	no
1025	crew	male	adult	no
1026	crew	male	adult	no
1027	crew	male	adult	no
1028	crew	male	adult	no
1029	crew	male	adult	no
1030	crew	male	adult	no
1031	crew	male	adult	no
1032	crew	male	adult	no
1033	crew	male	adult	no
1034	crew	male	adult	no
1035	crew	male	adult	no
1036	crew	male	adult	no
1037	crew	male	adult	no
1038	crew	male	adult	no
1039	crew	male	adult	no
1040	crew	male	adult	no
1041	crew	male	adult	no
1042	crew	male	adult	no
1043	crew	male	adult	no
1044	crew	male	adult	no
1045	crew	male	adult	no
1046	crew	male	adult	no
1047	crew	male	adult	no
1048	crew	male	adult	no
1049	crew	male	adult	no
1050	crew	male	adult	no
1051	crew	male	adult	no
1052	crew	male	adult	no
1053	crew	male	adult	no
1054	crew	male	adult	no
1055	crew	male	adult	no
1056	crew	male	adult	no
1057	crew	male	adult	no
1058	crew	male	adult	no
1059	crew	male	adult	no
1060	crew	male	adult	no
1061	crew	male	adult	no
1062	crew	male	adult	no
1063	crew	male	adult	no
1064	crew	male	adult	no
1065	crew	male	adult	no
1066	crew	male	adult	no
1067	crew	male	adult	no
1068	crew	male	adult	no
1069	crew	male	adult	no
1070	crew	male	adult	no
1071	crew	male	adult	no
1072	crew	male	adult	no
1073	crew	male	adult	no
1074	crew	male	adult	no
1075	crew	male	adult	no
1076	crew	male	adult	no
1077	crew	male	adult	no
1078	crew	male	adult	no
1079	crew	male	adult	no
1080	crew	male	adult	no
1081	crew	male	adult	no
1082	crew	male	adult	no
1083	crew	male	adult	no
1084	crew	male	adult	no
1085	crew	male	adult	no
1086	crew	male	adult	no
1087	crew	male	adult	no
1088	crew	male	adult	no
1089	crew	male	adult	no
1090	crew	male	adult	no
1091	crew	male	adult	no
1092	crew	male	adult	no
1093	crew	male	adult	no
1094	crew	male	adult	no
1095	crew	male	adult	no
1096	crew	male	adult	no
1097	crew	male	adult	no
1098	crew	male	adult	no
1099	crew	male	adult	no
1100	crew	male	adult	no
1101	crew	male	adult	no
1102	crew	male	adult	no
1103	crew	male	adult	no
1104	crew	male	adult	no
1105	crew	male	adult	no
1106	crew	male	adult	no
1107	crew	male	adult	no
1108	crew	male	adult	no
