CASE	ASSIGNMENT	REGION	MISTAKES
74	oral_exam	centr_eur	20
75	oral_exam	centr_eur	11
76	oral_exam	centr_eur	11
77	oral_exam	centr_eur	10
78	oral_exam	hispanic	16
79	oral_exam	centr_eur	17
80	oral_exam	centr_eur	18
81	oral_exam	centr_eur	11
82	oral_exam	centr_eur	12
83	oral_exam	centr_eur	20
84	oral_exam	mid_east	14
85	oral_exam	centr_eur	12
86	oral_exam	centr_eur	15
87	oral_exam	hispanic	15
88	oral_exam	hispanic	13
89	oral_exam	centr_eur	20
90	oral_exam	mid_east	15
91	oral_exam	centr_eur	11
92	oral_exam	centr_eur	14
93	oral_exam	mid_east	16
94	oral_exam	centr_eur	12
95	oral_exam	centr_eur	11
96	oral_exam	centr_eur	18
97	oral_exam	centr_eur	16
98	oral_exam	centr_eur	13
99	oral_exam	centr_eur	12
100	oral_exam	centr_eur	13
101	lab_report	mid_east	17
102	lab_report	mid_east	19
103	lab_report	hispanic	16
104	lab_report	centr_eur	22
105	lab_report	hispanic	13
106	lab_report	centr_eur	12
107	lab_report	mid_east	17
108	lab_report	centr_eur	18
109	lab_report	mid_east	20
110	lab_report	hispanic	19
111	lab_report	hispanic	21
112	lab_report	mid_east	17
113	lab_report	centr_eur	13
114	lab_report	centr_eur	22
115	lab_report	centr_eur	16
116	lab_report	mid_east	21
117	lab_report	mid_east	21
118	lab_report	mid_east	15
119	lab_report	mid_east	13
120	lab_report	centr_eur	15
121	lab_report	mid_east	12
122	lab_report	mid_east	20
123	lab_report	mid_east	14
124	lab_report	mid_east	20
125	lab_report	mid_east	14
126	lab_report	mid_east	20
127	lab_report	mid_east	17
128	lab_report	hispanic	15
129	lab_report	centr_eur	15
130	lab_report	centr_eur	19
131	lab_report	hispanic	18
132	lab_report	mid_east	17
133	lab_report	mid_east	15
134	lab_report	mid_east	22
135	lab_report	mid_east	18
136	lab_report	centr_eur	14
137	lab_report	centr_eur	16
138	lab_report	mid_east	17
139	lab_report	mid_east	21
140	lab_report	hispanic	14
141	lab_report	mid_east	14
142	lab_report	mid_east	14
143	lab_report	mid_east	18
144	lab_report	mid_east	17
145	lab_report	mid_east	14
146	lab_report	mid_east	16
147	lab_report	mid_east	18
148	lab_report	hispanic	15
149	lab_report	mid_east	17
150	lab_report	mid_east	21
151	lab_report	hispanic	12
152	lab_report	mid_east	17
153	lab_report	mid_east	16
154	lab_report	mid_east	21
155	lab_report	mid_east	21
156	lab_report	mid_east	14
157	lab_report	mid_east	20
158	lab_report	hispanic	16
159	lab_report	mid_east	18
160	lab_report	mid_east	13
161	lab_report	mid_east	13
162	lab_report	mid_east	21
163	lab_report	mid_east	21
164	lab_report	mid_east	14
165	lab_report	mid_east	17
166	lab_report	hispanic	21
167	lab_report	centr_eur	15
168	lab_report	mid_east	14
169	lab_report	mid_east	21
170	lab_report	mid_east	17
171	lab_report	mid_east	14
172	lab_report	hispanic	12
173	lab_report	centr_eur	18
174	lab_report	mid_east	16
175	lab_report	mid_east	21
176	lab_report	mid_east	17
177	lab_report	centr_eur	19
178	lab_report	mid_east	12
179	lab_report	mid_east	16
180	lab_report	mid_east	16
181	lab_report	centr_eur	15
182	lab_report	mid_east	16
183	lab_report	centr_eur	18
184	lab_report	hispanic	12
185	lab_report	mid_east	19
186	lab_report	mid_east	20
187	lab_report	mid_east	17
188	lab_report	mid_east	13
189	lab_report	centr_eur	21
190	lab_report	mid_east	16
191	lab_report	mid_east	17
192	lab_report	hispanic	19
193	lab_report	mid_east	14
194	lab_report	mid_east	15
195	lab_report	mid_east	19
196	lab_report	mid_east	20
197	lab_report	mid_east	12
198	lab_report	mid_east	18
199	lab_report	centr_eur	19
200	lab_report	mid_east	21
201	thesis	hispanic	22
202	thesis	hispanic	18
203	thesis	hispanic	19
204	thesis	hispanic	16
205	thesis	hispanic	16
206	thesis	centr_eur	21
207	thesis	hispanic	18
208	thesis	mid_east	19
209	thesis	mid_east	24
210	thesis	hispanic	19
211	thesis	mid_east	17
212	thesis	hispanic	22
213	thesis	hispanic	15
214	thesis	mid_east	22
215	thesis	mid_east	23
216	thesis	hispanic	20
217	thesis	hispanic	18
218	thesis	hispanic	22
219	thesis	hispanic	18
220	thesis	hispanic	23
221	thesis	mid_east	16
222	thesis	mid_east	23
223	thesis	hispanic	20
224	thesis	hispanic	23
225	thesis	hispanic	23
226	thesis	centr_eur	24
227	thesis	mid_east	18
228	thesis	mid_east	19
229	thesis	centr_eur	18
230	thesis	centr_eur	18
231	thesis	hispanic	24
232	thesis	hispanic	16
233	thesis	hispanic	19
234	thesis	hispanic	19
235	thesis	hispanic	19
236	thesis	hispanic	17
237	thesis	hispanic	18
238	thesis	hispanic	22
239	thesis	hispanic	23
240	thesis	hispanic	19
241	thesis	hispanic	17
242	thesis	centr_eur	18
243	thesis	hispanic	23
244	thesis	hispanic	17
245	thesis	hispanic	23
246	thesis	hispanic	20
247	thesis	centr_eur	18
248	thesis	hispanic	18
249	thesis	hispanic	23
250	thesis	mid_east	16
251	thesis	mid_east	23
252	thesis	hispanic	16
253	thesis	hispanic	22
254	thesis	centr_eur	24
255	thesis	mid_east	25
256	thesis	hispanic	17
257	thesis	hispanic	15
258	thesis	hispanic	17
259	thesis	mid_east	16
260	thesis	mid_east	19
261	thesis	hispanic	16
262	thesis	hispanic	18
263	thesis	hispanic	21
264	thesis	mid_east	18
265	thesis	centr_eur	24
266	thesis	hispanic	19
267	thesis	hispanic	25
268	thesis	hispanic	18
269	thesis	hispanic	22
270	thesis	centr_eur	16
271	thesis	hispanic	23
272	thesis	hispanic	23
273	thesis	hispanic	19
274	thesis	hispanic	20
275	thesis	mid_east	22
276	thesis	hispanic	16
277	thesis	hispanic	21
278	thesis	hispanic	23
279	thesis	mid_east	17
280	thesis	mid_east	15
281	thesis	hispanic	19
282	thesis	centr_eur	18
283	thesis	hispanic	19
284	thesis	hispanic	19
285	thesis	hispanic	24
286	thesis	hispanic	17
287	thesis	hispanic	16
288	thesis	hispanic	21
289	thesis	centr_eur	15
290	thesis	mid_east	16
291	thesis	hispanic	23
292	thesis	hispanic	24
293	thesis	mid_east	17
294	thesis	hispanic	21
295	thesis	mid_east	18
296	thesis	hispanic	25
297	thesis	hispanic	23
298	thesis	hispanic	22
299	thesis	hispanic	17
300	thesis	hispanic	15
